part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,60.0,40.0,100.0,0.23529411764705882,4,3,5,2,5,2,2
easy_2,80.0,28.57142857142857,75.0,0.23529411764705882,4,4,5,2,7,3,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2
easy_5,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,50.0,100.0,0.058823529411764705,1,1,1,1,2,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_13,100.0,0.0,100.0,0.058823529411764705,1,6,6,0,7,4,4
easy_14,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_15,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_16,66.66666666666666,0.0,50.0,0.058823529411764705,1,2,3,0,2,1,2
easy_17,66.66666666666666,50.0,100.0,0.17647058823529413,3,2,3,2,4,2,2
easy_18,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_20,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_23,75.0,25.0,100.0,0.11764705882352941,2,3,4,1,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.35294117647058826,6,3,6,0,6,1,2
easy_26,100.0,0.0,100.0,0.0,0,4,4,0,4,3,3
easy_27,33.33333333333333,50.0,33.33333333333333,0.17647058823529413,3,1,3,1,2,1,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
