part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,60.0,40.0,100.0,0.23529411764705882,4,3,5,2,5,2,2
easy_2,40.0,40.0,50.0,0.35294117647058826,6,2,5,2,5,2,4
easy_3,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_4,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2
easy_5,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,50.0,100.0,0.058823529411764705,1,1,1,1,2,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_10,25.0,80.0,100.0,0.4117647058823529,7,1,4,4,5,1,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_13,83.33333333333334,25.0,75.0,0.23529411764705882,4,5,6,2,8,3,4
easy_14,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1
easy_15,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_16,66.66666666666666,33.33333333333333,50.0,0.11764705882352941,2,2,3,1,3,1,2
easy_17,66.66666666666666,60.0,100.0,0.23529411764705882,4,2,3,3,5,2,2
easy_18,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_19,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_20,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_21,33.33333333333333,0.0,50.0,0.11764705882352941,2,1,3,0,1,1,2
easy_22,100.0,0.0,100.0,0.058823529411764705,1,2,2,0,3,2,2
easy_23,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.35294117647058826,6,3,6,0,6,1,2
easy_26,100.0,0.0,100.0,0.0,0,4,4,0,4,3,3
easy_27,33.33333333333333,50.0,33.33333333333333,0.17647058823529413,3,1,3,1,2,1,3
easy_28,50.0,40.0,66.66666666666666,0.29411764705882354,5,3,6,2,5,2,3
easy_29,100.0,16.666666666666664,100.0,0.058823529411764705,1,5,5,1,6,2,2
easy_30,100.0,25.0,100.0,0.058823529411764705,1,3,3,1,4,1,1
easy_31,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_32,20.0,0.0,20.0,0.23529411764705882,4,1,5,0,1,1,5
easy_33,100.0,12.5,100.0,0.058823529411764705,1,7,7,1,8,4,4
hard_1,83.33333333333334,0.0,75.0,0.058823529411764705,1,5,6,0,5,3,4
hard_2,83.33333333333334,16.666666666666664,75.0,0.11764705882352941,2,5,6,1,6,3,4
hard_3,80.0,0.0,100.0,0.058823529411764705,1,4,5,0,4,4,4
hard_4,54.54545454545454,0.0,75.0,0.29411764705882354,5,6,11,0,6,3,4
hard_5,82.35294117647058,36.36363636363637,75.0,0.6470588235294118,11,14,17,8,22,3,4
hard_6,54.54545454545454,0.0,75.0,0.29411764705882354,5,6,11,0,6,3,4
hard_7,77.60000000000001,0.0,50.0,1.6470588235294117,28,97,125,0,97,2,4
hard_8,83.33333333333334,0.0,75.0,0.11764705882352941,2,10,12,0,10,3,4
hard_9,80.0,33.33333333333333,75.0,0.17647058823529413,3,4,5,2,6,3,4
hard_10,88.88888888888889,11.11111111111111,75.0,0.11764705882352941,2,8,9,1,9,3,4
hard_11,63.63636363636363,12.5,100.0,0.29411764705882354,5,7,11,1,8,4,4
hard_12,83.33333333333334,16.666666666666664,66.66666666666666,0.23529411764705882,4,10,12,2,12,2,3
hard_13,22.22222222222222,0.0,66.66666666666666,0.4117647058823529,7,2,9,0,2,2,3
hard_14,12.5,66.66666666666666,25.0,0.5294117647058824,9,1,8,2,3,1,4
hard_15,33.33333333333333,25.0,50.0,0.4117647058823529,7,3,9,1,4,2,4
hard_16,53.84615384615385,0.0,50.0,0.35294117647058826,6,7,13,0,7,2,4
hard_17,85.71428571428571,0.0,100.0,0.058823529411764705,1,6,7,0,6,2,2
hard_18,42.857142857142854,25.0,66.66666666666666,0.29411764705882354,5,3,7,1,4,2,3
hard_19,38.46153846153847,0.0,60.0,0.5882352941176471,10,5,13,0,7,3,5
hard_20,89.47368421052632,0.0,100.0,0.11764705882352941,2,17,19,0,17,2,2
hard_21,88.88888888888889,0.0,100.0,0.058823529411764705,1,8,9,0,8,3,3
hard_22,60.0,0.0,50.0,0.11764705882352941,2,3,5,0,3,2,4
hard_23,28.57142857142857,0.0,66.66666666666666,0.29411764705882354,5,2,7,0,2,2,3
hard_24,37.5,20.0,40.0,0.4117647058823529,7,3,8,1,5,2,5
hard_25,63.63636363636363,6.666666666666667,100.0,0.5294117647058824,9,14,22,1,15,3,3
hard_26,100.0,57.14285714285714,100.0,0.23529411764705882,4,3,3,4,7,2,2
hard_27,88.88888888888889,0.0,100.0,0.11764705882352941,2,8,9,0,9,2,2
hard_28,81.81818181818183,10.0,100.0,0.17647058823529413,3,9,11,1,10,3,3
hard_29,88.88888888888889,33.33333333333333,75.0,0.29411764705882354,5,8,9,4,12,3,4
hard_30,57.14285714285714,0.0,100.0,0.17647058823529413,3,4,7,0,4,3,3
hard_31,41.17647058823529,12.5,50.0,0.6470588235294118,11,7,17,1,8,2,4
hard_32,36.36363636363637,0.0,50.0,0.47058823529411764,8,4,11,0,5,2,4
hard_33,50.0,20.0,60.0,0.29411764705882354,5,4,8,1,5,3,5
hard_34,100.0,12.5,100.0,0.058823529411764705,1,7,7,1,8,2,2
medium_1,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2
medium_2,75.0,0.0,75.0,0.058823529411764705,1,3,4,0,3,3,4
medium_3,80.0,0.0,75.0,0.058823529411764705,1,4,5,0,4,3,4
medium_4,20.0,75.0,50.0,0.4117647058823529,7,1,5,3,4,1,2
medium_5,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
medium_6,66.66666666666666,60.0,66.66666666666666,0.23529411764705882,4,2,3,3,5,2,3
medium_7,100.0,28.57142857142857,100.0,0.17647058823529413,3,4,4,2,7,3,3
medium_8,33.33333333333333,40.0,25.0,0.4117647058823529,7,2,6,2,5,1,4
medium_9,25.0,66.66666666666666,33.33333333333333,0.29411764705882354,5,1,4,2,3,1,3
medium_10,40.0,71.42857142857143,50.0,0.47058823529411764,8,2,5,5,7,1,2
medium_11,60.0,20.0,60.0,0.23529411764705882,4,3,5,1,5,3,5
medium_12,66.66666666666666,0.0,100.0,0.23529411764705882,4,4,6,0,6,3,3
medium_13,72.72727272727273,8.333333333333332,83.33333333333334,0.4117647058823529,7,8,11,1,12,5,6
medium_14,60.0,25.0,60.0,0.17647058823529413,3,3,5,1,4,3,5
medium_15,78.57142857142857,0.0,66.66666666666666,0.47058823529411764,8,22,28,0,24,4,6
medium_16,50.0,40.0,100.0,0.29411764705882354,5,3,6,2,5,2,2
medium_17,76.47058823529412,27.77777777777778,50.0,0.5294117647058824,9,13,17,5,18,1,2
medium_18,50.0,66.66666666666666,100.0,0.35294117647058826,6,2,4,4,6,2,2
medium_19,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2
medium_20,56.25,0.0,50.0,0.47058823529411764,8,9,16,0,10,4,8
medium_21,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
medium_22,100.0,0.0,100.0,0.0,0,7,7,0,7,2,2
medium_23,50.0,50.0,66.66666666666666,0.35294117647058826,6,3,6,3,6,2,3
medium_24,66.66666666666666,16.666666666666664,75.0,0.23529411764705882,4,4,6,1,6,3,4
medium_25,76.47058823529412,7.142857142857142,100.0,0.29411764705882354,5,13,17,1,14,2,2
medium_26,100.0,0.0,100.0,0.058823529411764705,1,19,19,0,20,1,1
medium_27,75.0,25.0,50.0,0.11764705882352941,2,3,4,1,4,1,2
medium_28,75.0,25.0,100.0,0.11764705882352941,2,3,4,1,4,2,2
medium_29,60.0,0.0,66.66666666666666,0.11764705882352941,2,3,5,0,3,2,3
medium_30,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,2
medium_31,66.66666666666666,60.0,50.0,0.23529411764705882,4,2,3,3,5,1,2
medium_32,85.71428571428571,14.285714285714285,66.66666666666666,0.11764705882352941,2,6,7,1,7,2,3
medium_33,83.33333333333334,16.666666666666664,50.0,0.11764705882352941,2,5,6,1,6,1,2
