part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,100.0,47.05882352941176,100.0,0.7058823529411765,12,5,5,8,17,2,2
easy_2,80.0,28.57142857142857,75.0,0.23529411764705882,4,4,5,2,7,3,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2
easy_5,50.0,60.0,50.0,0.29411764705882354,5,1,2,3,5,1,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,50.0,100.0,0.058823529411764705,1,1,1,1,2,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_13,83.33333333333334,0.0,75.0,0.11764705882352941,2,5,6,0,6,3,4
easy_14,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_15,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_16,66.66666666666666,0.0,50.0,0.058823529411764705,1,2,3,0,2,1,2
easy_17,100.0,40.0,100.0,0.11764705882352941,2,3,3,2,5,2,2
easy_18,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_20,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,100.0,0.0,100.0,0.058823529411764705,1,2,2,0,3,2,2
easy_23,75.0,25.0,100.0,0.11764705882352941,2,3,4,1,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.35294117647058826,6,3,6,0,6,1,2
easy_26,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,3,3
easy_27,33.33333333333333,50.0,33.33333333333333,0.17647058823529413,3,1,3,1,2,1,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
easy_29,100.0,0.0,100.0,0.058823529411764705,1,5,5,0,6,2,2
easy_30,100.0,40.0,100.0,0.11764705882352941,2,3,3,2,5,1,1
easy_31,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_32,80.0,0.0,80.0,0.058823529411764705,1,4,5,0,4,4,5
easy_33,85.71428571428571,0.0,75.0,0.058823529411764705,1,6,7,0,6,3,4
hard_1,83.33333333333334,0.0,75.0,0.058823529411764705,1,5,6,0,5,3,4
hard_2,66.66666666666666,33.33333333333333,50.0,0.23529411764705882,4,4,6,2,6,2,4
hard_3,80.0,0.0,100.0,0.058823529411764705,1,4,5,0,4,4,4
hard_4,54.54545454545454,14.285714285714285,50.0,0.35294117647058826,6,6,11,1,7,2,4
hard_5,88.23529411764706,0.0,75.0,0.11764705882352941,2,15,17,0,15,3,4
hard_6,63.63636363636363,0.0,75.0,0.29411764705882354,5,7,11,0,8,3,4
hard_7,84.8,0.0,100.0,1.1176470588235294,19,106,125,0,106,4,4
hard_8,91.66666666666666,0.0,75.0,0.058823529411764705,1,11,12,0,11,3,4
hard_9,80.0,0.0,75.0,0.058823529411764705,1,4,5,0,4,3,4
hard_10,100.0,0.0,100.0,0.0,0,9,9,0,9,4,4
hard_11,63.63636363636363,11.11111111111111,100.0,0.35294117647058826,6,7,11,1,9,4,4
hard_12,75.0,10.0,66.66666666666666,0.23529411764705882,4,9,12,1,10,2,3
hard_13,100.0,0.0,100.0,0.0,0,9,9,0,9,3,3
hard_14,25.0,33.33333333333333,50.0,0.4117647058823529,7,2,8,1,3,2,4
hard_15,66.66666666666666,25.0,75.0,0.29411764705882354,5,6,9,2,8,3,4
hard_16,53.84615384615385,12.5,50.0,0.4117647058823529,7,7,13,1,8,2,4
hard_17,85.71428571428571,0.0,100.0,0.058823529411764705,1,6,7,0,6,2,2
hard_18,71.42857142857143,16.666666666666664,100.0,0.17647058823529413,3,5,7,1,6,3,3
hard_19,30.76923076923077,14.285714285714285,60.0,0.7058823529411765,12,4,13,1,7,3,5
hard_20,100.0,0.0,100.0,0.35294117647058826,6,19,19,0,25,2,2
hard_21,77.77777777777779,12.5,66.66666666666666,0.17647058823529413,3,7,9,1,8,2,3
hard_22,100.0,16.666666666666664,100.0,0.058823529411764705,1,5,5,1,6,4,4
hard_23,28.57142857142857,0.0,66.66666666666666,0.29411764705882354,5,2,7,0,2,2,3
hard_24,87.5,0.0,80.0,0.17647058823529413,3,7,8,0,9,4,5
hard_25,45.45454545454545,9.090909090909092,66.66666666666666,0.7647058823529411,13,10,22,1,11,2,3
hard_26,66.66666666666666,66.66666666666666,50.0,0.29411764705882354,5,2,3,4,6,1,2
hard_27,88.88888888888889,18.181818181818183,100.0,0.23529411764705882,4,8,9,2,11,2,2
hard_28,54.54545454545454,0.0,100.0,0.29411764705882354,5,6,11,0,6,3,3
