part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,60.0,25.0,100.0,0.17647058823529413,3,3,5,1,4,2,2
easy_2,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
easy_3,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_4,33.33333333333333,0.0,50.0,0.23529411764705882,4,2,6,0,2,1,2
easy_5,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_10,25.0,66.66666666666666,100.0,0.29411764705882354,5,1,4,2,3,1,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_13,50.0,0.0,50.0,0.17647058823529413,3,3,6,0,3,2,4
easy_14,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,1
easy_15,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_16,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
easy_17,66.66666666666666,0.0,50.0,0.058823529411764705,1,2,3,0,2,1,2
easy_18,50.0,0.0,50.0,0.058823529411764705,1,1,2,0,1,1,2
easy_19,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_20,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,1
easy_21,66.66666666666666,0.0,100.0,0.11764705882352941,2,2,3,0,3,2,2
easy_22,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_23,75.0,25.0,100.0,0.11764705882352941,2,3,4,1,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.35294117647058826,6,3,6,0,6,1,2
easy_26,75.0,0.0,66.66666666666666,0.23529411764705882,4,3,4,0,6,2,3
easy_27,33.33333333333333,50.0,33.33333333333333,0.17647058823529413,3,1,3,1,2,1,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
easy_29,80.0,0.0,50.0,0.17647058823529413,3,4,5,0,6,1,2
easy_30,100.0,25.0,100.0,0.058823529411764705,1,3,3,1,4,1,1
easy_31,20.0,0.0,50.0,0.23529411764705882,4,1,5,0,1,1,2
easy_32,0.0,100.0,0.0,0.35294117647058826,6,0,5,1,1,0,5
easy_33,42.857142857142854,25.0,25.0,0.29411764705882354,5,3,7,1,4,1,4
hard_1,33.33333333333333,0.0,25.0,0.23529411764705882,4,2,6,0,2,1,4
hard_2,33.33333333333333,0.0,25.0,0.23529411764705882,4,2,6,0,2,1,4
hard_3,20.0,50.0,25.0,0.29411764705882354,5,1,5,1,2,1,4
hard_4,36.36363636363637,0.0,25.0,0.4117647058823529,7,4,11,0,4,1,4
hard_5,0.0,100.0,0.0,1.2941176470588236,22,0,17,5,5,0,4
hard_6,54.54545454545454,0.0,50.0,0.4117647058823529,7,6,11,0,8,2,4
hard_7,3.2,33.33333333333333,25.0,7.235294117647059,123,4,125,2,6,1,4
hard_8,16.666666666666664,0.0,25.0,0.7058823529411765,12,2,12,0,4,1,4
hard_9,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
hard_10,55.55555555555556,16.666666666666664,50.0,0.29411764705882354,5,5,9,1,6,2,4
hard_11,54.54545454545454,0.0,75.0,0.29411764705882354,5,6,11,0,6,3,4
hard_12,50.0,14.285714285714285,33.33333333333333,0.4117647058823529,7,6,12,1,7,1,3
hard_13,22.22222222222222,0.0,66.66666666666666,0.4117647058823529,7,2,9,0,2,2,3
hard_14,12.5,66.66666666666666,25.0,0.5294117647058824,9,1,8,2,3,1,4
hard_15,22.22222222222222,50.0,25.0,0.5294117647058824,9,2,9,2,4,1,4
hard_16,30.76923076923077,0.0,25.0,0.5294117647058824,9,4,13,0,4,1,4
hard_17,42.857142857142854,40.0,50.0,0.6470588235294118,11,3,7,4,10,1,2
hard_18,42.857142857142854,0.0,66.66666666666666,0.29411764705882354,5,3,7,0,4,2,3
hard_19,46.15384615384615,0.0,40.0,0.4117647058823529,7,6,13,0,6,2,5
hard_20,36.84210526315789,0.0,100.0,0.7058823529411765,12,7,19,0,7,2,2
hard_21,77.77777777777779,0.0,66.66666666666666,0.11764705882352941,2,7,9,0,7,2,3
hard_22,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
hard_23,28.57142857142857,0.0,66.66666666666666,0.5882352941176471,10,2,7,0,7,2,3
hard_24,37.5,0.0,40.0,0.29411764705882354,5,3,8,0,3,2,5
hard_25,27.27272727272727,14.285714285714285,33.33333333333333,1.0,17,6,22,1,7,1,3
hard_26,66.66666666666666,0.0,50.0,0.058823529411764705,1,2,3,0,2,1,2
hard_27,55.55555555555556,0.0,50.0,0.29411764705882354,5,5,9,0,6,1,2
hard_28,18.181818181818183,33.33333333333333,33.33333333333333,0.5882352941176471,10,2,11,1,3,1,3
hard_29,22.22222222222222,33.33333333333333,25.0,0.47058823529411764,8,2,9,1,3,1,4
hard_30,42.857142857142854,57.14285714285714,66.66666666666666,0.47058823529411764,8,3,7,4,7,2,3
hard_31,35.294117647058826,0.0,25.0,0.6470588235294118,11,6,17,0,6,1,4
hard_32,18.181818181818183,0.0,25.0,0.5294117647058824,9,2,11,0,2,1,4
hard_33,25.0,0.0,40.0,0.35294117647058826,6,2,8,0,2,2,5
hard_34,28.57142857142857,33.33333333333333,50.0,0.35294117647058826,6,2,7,1,3,1,2
medium_1,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2
medium_2,25.0,0.0,25.0,0.17647058823529413,3,1,4,0,1,1,4
medium_3,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
medium_4,0.0,100.0,0.0,0.5294117647058824,9,0,5,4,4,0,2
medium_5,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
medium_6,66.66666666666666,33.33333333333333,66.66666666666666,0.11764705882352941,2,2,3,1,3,2,3
medium_7,50.0,0.0,66.66666666666666,0.11764705882352941,2,2,4,0,2,2,3
medium_8,50.0,25.0,50.0,0.23529411764705882,4,3,6,1,4,2,4
medium_9,0.0,100.0,0.0,0.29411764705882354,5,0,4,1,1,0,3
medium_10,0.0,100.0,0.0,0.47058823529411764,8,0,5,3,3,0,2
medium_11,40.0,0.0,40.0,0.17647058823529413,3,2,5,0,2,2,5
medium_12,16.666666666666664,0.0,33.33333333333333,0.4117647058823529,7,1,6,0,3,1,3
medium_13,36.36363636363637,0.0,50.0,0.7647058823529411,13,4,11,0,10,3,6
medium_14,60.0,0.0,60.0,0.11764705882352941,2,3,5,0,3,3,5
medium_15,46.42857142857143,0.0,33.33333333333333,0.8823529411764706,15,13,28,0,13,2,6
medium_16,33.33333333333333,0.0,50.0,0.23529411764705882,4,2,6,0,2,1,2
medium_17,5.88235294117647,0.0,50.0,0.9411764705882353,16,1,17,0,1,1,2
medium_18,25.0,66.66666666666666,50.0,0.29411764705882354,5,1,4,2,3,1,2
medium_19,50.0,0.0,50.0,0.11764705882352941,2,2,4,0,2,1,2
medium_20,18.75,0.0,12.5,0.9411764705882353,16,3,16,0,6,1,8
medium_21,16.666666666666664,0.0,25.0,0.29411764705882354,5,1,6,0,1,1,4
medium_22,71.42857142857143,0.0,50.0,0.11764705882352941,2,5,7,0,5,1,2
medium_23,33.33333333333333,33.33333333333333,33.33333333333333,0.29411764705882354,5,2,6,1,3,1,3
medium_24,50.0,0.0,50.0,0.17647058823529413,3,3,6,0,3,2,4
medium_25,35.294117647058826,0.0,50.0,0.6470588235294118,11,6,17,0,6,1,2
medium_26,89.47368421052632,0.0,100.0,0.11764705882352941,2,17,19,0,17,1,1
medium_27,100.0,0.0,100.0,0.0,0,4,4,0,4,2,2
medium_28,25.0,50.0,50.0,0.23529411764705882,4,1,4,1,2,1,2
medium_29,40.0,66.66666666666666,33.33333333333333,0.4117647058823529,7,2,5,4,6,1,3
medium_30,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,2
medium_31,0.0,0.0,0.0,0.17647058823529413,3,0,3,0,0,0,2
medium_32,28.57142857142857,33.33333333333333,33.33333333333333,0.35294117647058826,6,2,7,1,3,1,3
medium_33,83.33333333333334,0.0,50.0,0.11764705882352941,2,5,6,0,6,1,2
