part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,100.0,0.0,100.0,0.5294117647058824,9,5,5,0,14,2,2
easy_2,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
easy_3,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_4,33.33333333333333,66.66666666666666,50.0,0.47058823529411764,8,2,6,4,6,1,2
easy_5,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_10,0.0,100.0,0.0,0.35294117647058826,6,0,4,2,2,0,1
easy_11,0.0,0.0,0.0,0.11764705882352941,2,0,2,0,0,0,1
easy_12,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_13,0.0,0.0,0.0,0.35294117647058826,6,0,6,0,0,0,4
easy_14,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_15,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_16,66.66666666666666,0.0,50.0,0.058823529411764705,1,2,3,0,2,1,2
easy_17,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
easy_18,100.0,0.0,100.0,0.8823529411764706,15,2,2,0,17,2,2
easy_19,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_20,0.0,0.0,0.0,0.11764705882352941,2,0,2,0,0,0,1
easy_21,33.33333333333333,50.0,50.0,0.29411764705882354,5,1,3,2,4,1,2
easy_22,50.0,0.0,50.0,0.11764705882352941,2,1,2,0,2,1,2
easy_23,100.0,0.0,100.0,0.0,0,4,4,0,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,14.285714285714285,50.0,0.4117647058823529,7,3,6,1,7,1,2
easy_26,75.0,0.0,66.66666666666666,0.23529411764705882,4,3,4,0,6,2,3
easy_27,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3
