part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_2,40.0,0.0,50.0,0.17647058823529413,3,2,5,0,2,2,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,16.666666666666664,0.0,50.0,0.29411764705882354,5,1,6,0,1,1,2
easy_5,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_6,50.0,50.0,100.0,0.11764705882352941,2,1,2,1,2,1,1
easy_7,0.0,100.0,0.0,0.23529411764705882,4,0,1,3,3,0,1
easy_8,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1
easy_9,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_13,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
easy_14,50.0,80.0,100.0,0.29411764705882354,5,1,2,4,5,1,1
easy_15,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_16,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
easy_17,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
easy_18,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2
easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_20,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_21,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,2,2
easy_22,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_23,25.0,0.0,100.0,0.17647058823529413,3,1,4,0,1,1,1
easy_24,33.33333333333333,0.0,100.0,0.23529411764705882,4,2,6,0,2,1,1
easy_25,16.666666666666664,0.0,50.0,0.29411764705882354,5,1,6,0,1,1,2
easy_26,25.0,0.0,33.33333333333333,0.17647058823529413,3,1,4,0,1,1,3
easy_27,0.0,100.0,0.0,0.23529411764705882,4,0,3,1,1,0,3
easy_28,16.666666666666664,0.0,33.33333333333333,0.29411764705882354,5,1,6,0,1,1,3
easy_29,20.0,0.0,50.0,0.23529411764705882,4,1,5,0,1,1,2
easy_30,33.33333333333333,0.0,100.0,0.11764705882352941,2,1,3,0,1,1,1
easy_31,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_32,40.0,33.33333333333333,40.0,0.23529411764705882,4,2,5,1,3,2,5
easy_33,28.57142857142857,33.33333333333333,50.0,0.35294117647058826,6,2,7,1,3,2,4
hard_1,16.666666666666664,66.66666666666666,25.0,0.4117647058823529,7,1,6,2,3,1,4
hard_2,16.666666666666664,66.66666666666666,25.0,0.4117647058823529,7,1,6,2,3,1,4
hard_3,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,2,4
hard_4,18.181818181818183,33.33333333333333,50.0,0.5882352941176471,10,2,11,1,3,2,4
hard_5,11.76470588235294,50.0,25.0,1.0,17,2,17,2,4,1,4
hard_6,9.090909090909092,66.66666666666666,25.0,0.7058823529411765,12,1,11,2,3,1,4
hard_7,1.6,77.77777777777779,50.0,7.647058823529412,130,2,125,7,9,2,4
hard_8,8.333333333333332,66.66666666666666,25.0,0.7647058823529411,13,1,12,2,3,1,4
hard_9,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,2,4
hard_10,22.22222222222222,33.33333333333333,50.0,0.47058823529411764,8,2,9,1,3,2,4
hard_11,36.36363636363637,33.33333333333333,75.0,0.5294117647058824,9,4,11,2,6,3,4
hard_12,8.333333333333332,66.66666666666666,33.33333333333333,0.7647058823529411,13,1,12,2,3,1,3
hard_13,11.11111111111111,0.0,33.33333333333333,0.47058823529411764,8,1,9,0,1,1,3
hard_14,12.5,66.66666666666666,25.0,0.5294117647058824,9,1,8,2,3,1,4
hard_15,11.11111111111111,66.66666666666666,25.0,0.5882352941176471,10,1,9,2,3,1,4
hard_16,23.076923076923077,25.0,50.0,0.6470588235294118,11,3,13,1,4,2,4
hard_17,0.0,100.0,0.0,0.5882352941176471,10,0,7,3,3,0,2
hard_18,14.285714285714285,0.0,33.33333333333333,0.35294117647058826,6,1,7,0,1,1,3
hard_19,15.384615384615385,33.33333333333333,40.0,0.7058823529411765,12,2,13,1,3,2,5
hard_20,10.526315789473683,33.33333333333333,100.0,1.0588235294117647,18,2,19,1,3,2,2
hard_21,11.11111111111111,50.0,33.33333333333333,0.5294117647058824,9,1,9,1,2,1,3
hard_22,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,2,4
hard_23,28.57142857142857,50.0,66.66666666666666,0.4117647058823529,7,2,7,2,4,2,3
hard_24,12.5,66.66666666666666,20.0,0.5294117647058824,9,1,8,2,3,1,5
hard_25,9.090909090909092,33.33333333333333,66.66666666666666,1.2352941176470589,21,2,22,1,3,2,3
hard_26,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
hard_27,22.22222222222222,33.33333333333333,100.0,0.47058823529411764,8,2,9,1,3,2,2
hard_28,0.0,100.0,0.0,0.7647058823529411,13,0,11,2,2,0,3
hard_29,11.11111111111111,66.66666666666666,25.0,0.5882352941176471,10,1,9,2,3,1,4
hard_30,28.57142857142857,33.33333333333333,66.66666666666666,0.35294117647058826,6,2,7,1,3,2,3
hard_31,5.88235294117647,50.0,25.0,1.0,17,1,17,1,2,1,4
hard_32,18.181818181818183,33.33333333333333,50.0,0.5882352941176471,10,2,11,1,3,2,4
hard_33,37.5,40.0,60.0,0.4117647058823529,7,3,8,2,5,3,5
hard_34,14.285714285714285,66.66666666666666,50.0,0.47058823529411764,8,1,7,2,3,1,2
medium_1,25.0,50.0,50.0,0.23529411764705882,4,1,4,1,2,1,2
medium_2,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,2,4
medium_3,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
medium_4,20.0,75.0,50.0,0.4117647058823529,7,1,5,3,4,1,2
medium_5,16.666666666666664,66.66666666666666,25.0,0.4117647058823529,7,1,6,2,3,1,4
medium_6,100.0,50.0,100.0,0.17647058823529413,3,3,3,3,6,3,3
medium_7,75.0,40.0,100.0,0.17647058823529413,3,3,4,2,5,3,3
medium_8,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,2,4
medium_9,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
medium_10,20.0,66.66666666666666,50.0,0.35294117647058826,6,1,5,2,3,1,2
medium_11,40.0,33.33333333333333,40.0,0.23529411764705882,4,2,5,1,3,2,5
medium_12,33.33333333333333,33.33333333333333,66.66666666666666,0.29411764705882354,5,2,6,1,3,2,3
medium_13,45.45454545454545,16.666666666666664,66.66666666666666,0.4117647058823529,7,5,11,1,6,4,6
medium_14,40.0,0.0,40.0,0.17647058823529413,3,2,5,0,2,2,5
medium_15,21.428571428571427,50.0,66.66666666666666,1.6470588235294117,28,6,28,6,12,4,6
medium_16,16.666666666666664,50.0,50.0,0.35294117647058826,6,1,6,1,2,1,2
medium_17,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2
medium_18,25.0,50.0,50.0,0.23529411764705882,4,1,4,1,2,1,2
medium_19,25.0,50.0,50.0,0.23529411764705882,4,1,4,1,2,1,2
medium_20,25.0,0.0,37.5,0.7058823529411765,12,4,16,0,4,3,8
medium_21,16.666666666666664,0.0,25.0,0.29411764705882354,5,1,6,0,1,1,4
medium_22,28.57142857142857,0.0,50.0,0.29411764705882354,5,2,7,0,2,1,2
medium_23,16.666666666666664,66.66666666666666,33.33333333333333,0.4117647058823529,7,1,6,2,3,1,3
medium_24,33.33333333333333,50.0,50.0,0.35294117647058826,6,2,6,2,4,2,4
medium_25,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2
