part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_2,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,2,4
easy_3,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_4,50.0,0.0,100.0,0.17647058823529413,3,3,6,0,3,2,2
easy_5,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,0.0,100.0,0.0,0.17647058823529413,3,0,1,2,2,0,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_13,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
easy_14,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,1
easy_15,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_16,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
easy_17,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
easy_18,50.0,0.0,50.0,0.058823529411764705,1,1,2,0,1,1,2
easy_19,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_20,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_21,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
easy_22,50.0,0.0,50.0,0.058823529411764705,1,1,2,0,1,1,2
easy_23,50.0,33.33333333333333,100.0,0.17647058823529413,3,2,4,1,3,1,1
easy_24,66.66666666666666,20.0,100.0,0.17647058823529413,3,4,6,1,5,1,1
easy_25,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2
easy_26,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
easy_27,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,3
easy_28,16.666666666666664,50.0,33.33333333333333,0.35294117647058826,6,1,6,1,2,1,3
easy_29,80.0,20.0,50.0,0.11764705882352941,2,4,5,1,5,1,2
easy_30,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,1,1
easy_31,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_32,20.0,33.33333333333333,20.0,0.35294117647058826,6,1,5,1,3,1,5
easy_33,28.57142857142857,33.33333333333333,25.0,0.35294117647058826,6,2,7,1,3,1,4
hard_1,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_2,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
hard_3,20.0,50.0,25.0,0.29411764705882354,5,1,5,1,2,1,4
hard_4,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_5,11.76470588235294,33.33333333333333,25.0,0.9411764705882353,16,2,17,1,3,1,4
hard_6,27.27272727272727,0.0,50.0,0.47058823529411764,8,3,11,0,3,2,4
hard_7,1.6,33.33333333333333,25.0,7.294117647058823,124,2,125,1,3,1,4
hard_8,16.666666666666664,0.0,25.0,0.5882352941176471,10,2,12,0,2,1,4
hard_9,40.0,33.33333333333333,25.0,0.23529411764705882,4,2,5,1,3,1,4
hard_10,33.33333333333333,14.285714285714285,50.0,0.5882352941176471,10,3,9,1,7,2,4
hard_11,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_12,50.0,14.285714285714285,33.33333333333333,0.4117647058823529,7,6,12,1,7,1,3
hard_13,11.11111111111111,0.0,33.33333333333333,0.47058823529411764,8,1,9,0,1,1,3
hard_14,12.5,50.0,25.0,0.47058823529411764,8,1,8,1,2,1,4
hard_15,11.11111111111111,0.0,25.0,0.47058823529411764,8,1,9,0,1,1,4
hard_16,15.384615384615385,33.33333333333333,25.0,0.7058823529411765,12,2,13,1,3,1,4
hard_17,42.857142857142854,25.0,50.0,0.29411764705882354,5,3,7,1,4,1,2
hard_18,28.57142857142857,33.33333333333333,33.33333333333333,0.35294117647058826,6,2,7,1,3,1,3
hard_19,15.384615384615385,33.33333333333333,20.0,0.7058823529411765,12,2,13,1,3,1,5
hard_20,5.263157894736842,50.0,50.0,1.1176470588235294,19,1,19,1,2,1,2
hard_21,0.0,100.0,0.0,0.5882352941176471,10,0,9,1,1,0,3
hard_22,20.0,50.0,25.0,0.29411764705882354,5,1,5,1,2,1,4
hard_23,14.285714285714285,0.0,33.33333333333333,0.35294117647058826,6,1,7,0,1,1,3
hard_24,12.5,50.0,20.0,0.47058823529411764,8,1,8,1,2,1,5
hard_25,18.181818181818183,20.0,33.33333333333333,1.1176470588235294,19,4,22,1,5,1,3
hard_26,66.66666666666666,33.33333333333333,50.0,0.11764705882352941,2,2,3,1,3,1,2
hard_27,22.22222222222222,33.33333333333333,50.0,0.47058823529411764,8,2,9,1,3,1,2
hard_28,18.181818181818183,33.33333333333333,33.33333333333333,0.5882352941176471,10,2,11,1,3,1,3
hard_29,22.22222222222222,33.33333333333333,25.0,0.47058823529411764,8,2,9,1,3,1,4
hard_30,42.857142857142854,25.0,66.66666666666666,0.29411764705882354,5,3,7,1,4,2,3
hard_31,11.76470588235294,50.0,25.0,1.0,17,2,17,2,4,1,4
hard_32,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_33,25.0,33.33333333333333,20.0,0.4117647058823529,7,2,8,1,3,1,5
hard_34,28.57142857142857,33.33333333333333,50.0,0.35294117647058826,6,2,7,1,3,1,2
medium_1,50.0,0.0,50.0,0.11764705882352941,2,2,4,0,2,1,2
medium_2,25.0,0.0,25.0,0.17647058823529413,3,1,4,0,1,1,4
medium_3,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
medium_4,20.0,75.0,50.0,0.4117647058823529,7,1,5,3,4,1,2
medium_5,0.0,100.0,0.0,0.47058823529411764,8,0,6,2,2,0,4
medium_6,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,3
medium_7,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
medium_8,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
medium_9,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
medium_10,0.0,100.0,0.0,0.4117647058823529,7,0,5,2,2,0,2
medium_11,20.0,50.0,20.0,0.29411764705882354,5,1,5,1,2,1,5
medium_12,16.666666666666664,33.33333333333333,33.33333333333333,0.4117647058823529,7,1,6,1,3,1,3
medium_13,27.27272727272727,0.0,33.33333333333333,0.47058823529411764,8,3,11,0,3,2,6
medium_14,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
medium_15,35.714285714285715,9.090909090909092,16.666666666666664,1.1176470588235294,19,10,28,1,11,1,6
medium_16,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2
medium_17,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2
medium_18,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,2
medium_19,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,1,2
medium_20,25.0,0.0,37.5,0.7058823529411765,12,4,16,0,4,3,8
medium_21,16.666666666666664,0.0,25.0,0.29411764705882354,5,1,6,0,1,1,4
medium_22,28.57142857142857,33.33333333333333,50.0,0.35294117647058826,6,2,7,1,3,1,2
medium_23,33.33333333333333,33.33333333333333,66.66666666666666,0.29411764705882354,5,2,6,1,3,2,3
medium_24,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
medium_25,11.76470588235294,33.33333333333333,50.0,0.9411764705882353,16,2,17,1,3,1,2
medium_26,5.263157894736842,50.0,100.0,1.1176470588235294,19,1,19,1,2,1,1
medium_27,50.0,0.0,50.0,0.11764705882352941,2,2,4,0,2,1,2
medium_28,25.0,50.0,50.0,0.23529411764705882,4,1,4,1,2,1,2
medium_29,40.0,33.33333333333333,33.33333333333333,0.23529411764705882,4,2,5,1,3,1,3
medium_30,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
medium_31,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
medium_32,42.857142857142854,25.0,66.66666666666666,0.29411764705882354,5,3,7,1,4,2,3
medium_33,33.33333333333333,0.0,50.0,0.23529411764705882,4,2,6,0,2,1,2
