part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,0.0,50.0,0.23529411764705882,4,1,5,0,1,1,2
easy_2,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
easy_3,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_4,33.33333333333333,0.0,50.0,0.23529411764705882,4,2,6,0,2,1,2
easy_5,50.0,88.88888888888889,50.0,0.5294117647058824,9,1,2,8,9,1,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,83.33333333333334,100.0,0.29411764705882354,5,1,1,5,6,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_12,50.0,0.0,50.0,0.058823529411764705,1,1,2,0,1,1,2
easy_13,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
easy_14,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_15,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_16,33.33333333333333,0.0,50.0,0.11764705882352941,2,1,3,0,1,1,2
easy_17,66.66666666666666,66.66666666666666,100.0,0.29411764705882354,5,2,3,4,6,2,2
easy_18,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_19,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,2
easy_20,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_21,33.33333333333333,0.0,50.0,0.11764705882352941,2,1,3,0,1,1,2
easy_22,50.0,0.0,50.0,0.058823529411764705,1,1,2,0,1,1,2
easy_23,50.0,0.0,100.0,0.11764705882352941,2,2,4,0,2,1,1
easy_24,66.66666666666666,0.0,100.0,0.11764705882352941,2,4,6,0,4,1,1
easy_25,16.666666666666664,0.0,50.0,0.29411764705882354,5,1,6,0,1,1,2
easy_26,25.0,0.0,33.33333333333333,0.17647058823529413,3,1,4,0,1,1,3
easy_27,0.0,100.0,0.0,0.23529411764705882,4,0,3,1,1,0,3
easy_28,16.666666666666664,0.0,33.33333333333333,0.29411764705882354,5,1,6,0,1,1,3
easy_29,40.0,0.0,50.0,0.17647058823529413,3,2,5,0,2,1,2
easy_30,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,1,1
easy_31,20.0,0.0,50.0,0.23529411764705882,4,1,5,0,1,1,2
easy_32,20.0,0.0,20.0,0.23529411764705882,4,1,5,0,1,1,5
easy_33,14.285714285714285,0.0,25.0,0.35294117647058826,6,1,7,0,1,1,4
hard_1,33.33333333333333,50.0,50.0,0.35294117647058826,6,2,6,2,4,2,4
hard_2,33.33333333333333,0.0,25.0,0.23529411764705882,4,2,6,0,2,1,4
hard_3,20.0,0.0,25.0,0.23529411764705882,4,1,5,0,1,1,4
hard_4,36.36363636363637,20.0,75.0,0.47058823529411764,8,4,11,1,5,3,4
hard_5,23.52941176470588,42.857142857142854,75.0,0.9411764705882353,16,4,17,3,7,3,4
hard_6,18.181818181818183,0.0,25.0,0.5294117647058824,9,2,11,0,2,1,4
hard_7,1.6,0.0,25.0,7.235294117647059,123,2,125,0,2,1,4
hard_8,16.666666666666664,0.0,25.0,0.5882352941176471,10,2,12,0,2,1,4
hard_9,40.0,0.0,25.0,0.17647058823529413,3,2,5,0,2,1,4
hard_10,33.33333333333333,57.14285714285714,50.0,0.5882352941176471,10,3,9,4,7,2,4
