part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,40.0,40.0,100.0,0.35294117647058826,6,2,5,2,5,2,2
easy_2,60.0,20.0,75.0,0.23529411764705882,4,3,5,1,5,3,4
easy_3,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,2
easy_4,50.0,0.0,100.0,0.17647058823529413,3,3,6,0,3,2,2
easy_5,50.0,87.5,50.0,0.47058823529411764,8,1,2,7,8,1,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1
easy_8,100.0,88.88888888888889,100.0,0.47058823529411764,8,1,1,8,9,1,1
easy_9,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,1
easy_10,0.0,100.0,0.0,0.5294117647058824,9,0,4,5,5,0,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_13,50.0,25.0,50.0,0.23529411764705882,4,3,6,1,4,2,4
easy_14,0.0,100.0,0.0,0.5882352941176471,10,0,2,8,8,0,1
easy_15,50.0,80.0,50.0,0.29411764705882354,5,1,2,4,5,1,2
easy_16,66.66666666666666,60.0,50.0,0.23529411764705882,4,2,3,3,5,1,2
easy_17,33.33333333333333,85.71428571428571,50.0,0.47058823529411764,8,1,3,6,7,1,2
easy_18,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_19,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,2
easy_20,0.0,100.0,0.0,0.5294117647058824,9,0,2,7,7,0,1
easy_21,33.33333333333333,33.33333333333333,50.0,0.23529411764705882,4,1,3,1,3,1,2
easy_22,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_23,50.0,60.0,100.0,0.29411764705882354,5,2,4,3,5,1,1
easy_24,33.33333333333333,50.0,100.0,0.35294117647058826,6,2,6,2,4,1,1
easy_25,33.33333333333333,50.0,50.0,0.35294117647058826,6,2,6,2,4,1,2
easy_26,50.0,40.0,66.66666666666666,0.29411764705882354,5,2,4,2,5,2,3
