part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,33.33333333333333,50.0,0.35294117647058826,6,1,5,1,3,1,2
easy_2,40.0,40.0,50.0,0.35294117647058826,6,2,5,2,5,2,4
easy_3,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2
easy_4,50.0,0.0,100.0,0.17647058823529413,3,3,6,0,3,2,2
easy_5,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,100.0,66.66666666666666,100.0,0.11764705882352941,2,1,1,2,3,1,1
easy_8,100.0,66.66666666666666,100.0,0.11764705882352941,2,1,1,2,3,1,1
easy_9,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_12,50.0,25.0,50.0,0.23529411764705882,4,1,2,1,4,1,2
easy_13,50.0,25.0,25.0,0.23529411764705882,4,3,6,1,4,1,4
easy_14,100.0,50.0,100.0,0.11764705882352941,2,2,2,2,4,1,1
easy_15,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_16,66.66666666666666,25.0,50.0,0.17647058823529413,3,2,3,1,4,1,2
easy_17,66.66666666666666,66.66666666666666,50.0,0.29411764705882354,5,2,3,4,6,1,2
easy_18,100.0,20.0,100.0,0.17647058823529413,3,2,2,1,5,2,2
easy_19,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,2
easy_20,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_21,33.33333333333333,20.0,50.0,0.35294117647058826,6,1,3,1,5,1,2
easy_22,50.0,50.0,50.0,0.23529411764705882,4,1,2,2,4,1,2
easy_23,100.0,20.0,100.0,0.058823529411764705,1,4,4,1,5,1,1
easy_24,100.0,0.0,100.0,0.11764705882352941,2,6,6,0,8,1,1
easy_25,50.0,20.0,50.0,0.29411764705882354,5,3,6,1,5,1,2
easy_26,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
easy_27,0.0,100.0,0.0,0.35294117647058826,6,0,3,3,3,0,3
easy_28,16.666666666666664,50.0,33.33333333333333,0.35294117647058826,6,1,6,1,2,1,3
easy_29,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,1,2
easy_30,100.0,20.0,100.0,0.11764705882352941,2,3,3,1,5,1,1
easy_31,80.0,20.0,50.0,0.11764705882352941,2,4,5,1,5,1,2
easy_32,20.0,50.0,20.0,0.29411764705882354,5,1,5,1,2,1,5
easy_33,57.14285714285714,20.0,25.0,0.23529411764705882,4,4,7,1,5,1,4
hard_1,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_2,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_3,40.0,50.0,25.0,0.29411764705882354,5,2,5,2,4,1,4
hard_4,36.36363636363637,20.0,25.0,0.47058823529411764,8,4,11,1,5,1,4
hard_5,23.52941176470588,20.0,25.0,0.8235294117647058,14,4,17,1,5,1,4
hard_6,54.54545454545454,14.285714285714285,50.0,0.35294117647058826,6,6,11,1,7,2,4
hard_7,4.0,16.666666666666664,50.0,7.117647058823529,121,5,125,1,6,2,4
hard_8,16.666666666666664,33.33333333333333,25.0,0.6470588235294118,11,2,12,1,3,1,4
hard_9,40.0,50.0,25.0,0.29411764705882354,5,2,5,2,4,1,4
