Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.42,0.17857142857142858,0.7142857142857143,0.0,0.47619047619047616,0.09090909090909091,0.2727272727272727,0.36363636363636365,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Chamfer / Bevel (Sharp Edge),0.25,0.8636363636363636,0.0,1.0,0.5,0.5,0.0,1.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Draft,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Fillet / Round (Concave / Convex),0.6728971962616822,0.24271844660194175,1.0,0.3181818181818182,0.6428571428571429,0.4166666666666667,0.6268656716417911,0.06666666666666667,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.2,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Hole (Through / Blind Hole),0.8625592417061612,0.05012531328320802,0.9782608695652174,0.20967741935483872,0.8823529411764706,0.05785123966942149,0.8326848249027238,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Neck,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pipe / Tube,1.0,0.36,0.0,1.0,1.0,0.4444444444444444,1.0,0.15384615384615385,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pocket (Blind / Through / Circular End Pocket),0.18,0.4117647058823529,0.10526315789473684,0.0,0.3157894736842105,0.36363636363636365,0.08333333333333333,0.75,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Sheet Metal Features,0.25,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Slot (Through / Blind / T-Slot / Dovetail),0.6705882352941176,0.09333333333333334,0.5625,0.0,0.46153846153846156,0.1875,0.8372093023255814,0.08163265306122448,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Step (Through / Blind Step),0.7916666666666666,0.48717948717948717,1.0,0.7272727272727273,0.6363636363636364,0.5294117647058824,0.9,0.18181818181818182,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Threaded Feature,0.6666666666666666,0.0,1.0,0.0,0.75,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
