Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.40186915887850466,0.14285714285714285,1.0,0.29411764705882354,0.10714285714285714,0.5555555555555556,0.417910447761194,0.0,Claude-3,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Gear Teeth,0.75,0.1,1.0,0.0,0.0,0.0,0.5,0.6666666666666666,Claude-3,Exp_3_Multi_View
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Hole (Through / Blind Hole),0.48578199052132703,0.05263157894736842,0.8695652173913043,0.13793103448275862,0.6638655462184874,0.05263157894736842,0.3346303501945525,0.0,Claude-3,Exp_3_Multi_View
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.06,0.5,0.10526315789473684,0.0,0.05263157894736842,0.6666666666666666,0.0,1.0,Claude-3,Exp_3_Multi_View
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,Claude-3,Exp_3_Multi_View
Step (Through / Blind Step),0.16666666666666666,0.7777777777777778,0.6666666666666666,0.8,0.18181818181818182,0.5,0.0,1.0,Claude-3,Exp_3_Multi_View
Threaded Feature,0.1111111111111111,0.0,0.0,0.0,0.25,0.0,0.0,0.0,Claude-3,Exp_3_Multi_View
