Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.04,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.5794392523364486,0.20930232558139536,1.0,0.4827586206896552,0.5357142857142857,0.2413793103448276,0.5223880597014925,0.08450704225352113,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,0.75,0.3793103448275862,1.0,0.0,0.0,0.0,0.5,0.9166666666666666,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.4928909952606635,0.04417670682730924,0.8478260869565217,0.14035087719298245,0.7058823529411765,0.030927835051546393,0.33073929961089493,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.023529411764705882,0.3333333333333333,0.0625,0.0,0.0,0.0,0.023255813953488372,0.5,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.125,0.8125,0.6666666666666666,0.75,0.09090909090909091,0.75,0.0,1.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.2222222222222222,0.0,0.5,0.0,0.25,0.0,0.0,0.0,Claude-3,Exp_4b_Multi_View_Chain_of_Thougths
