Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.02,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Chamfer / Bevel (Sharp Edge),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Fillet / Round (Concave / Convex),0.7383177570093458,0.28444444444444444,1.0,0.45,0.8214285714285714,0.379746835443038,0.6567164179104478,0.1509433962264151,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
"Freeform Features (Depression, Protrusion)",0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Hole (Through / Blind Hole),0.542654028436019,0.061855670103092786,0.8478260869565217,0.1875,0.6974789915966386,0.058823529411764705,0.4163424124513619,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pipe / Tube,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pocket (Blind / Through / Circular End Pocket),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Slot (Through / Blind / T-Slot / Dovetail),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Step (Through / Blind Step),0.041666666666666664,0.8333333333333334,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Threaded Feature,0.2222222222222222,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,Claude-3,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
