Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.14,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.09523809523809523,0.7777777777777778,0.18181818181818182,0.5555555555555556,MiniCPM-V2.6,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.4166666666666667,0.9074074074074074,0.3333333333333333,0.8333333333333334,0.5,0.8695652173913043,0.0,1.0,MiniCPM-V2.6,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.06542056074766354,0.5882352941176471,0.16666666666666666,0.7142857142857143,0.07142857142857142,0.7142857142857143,0.04477611940298507,0.0,MiniCPM-V2.6,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Gusset,0.08333333333333333,0.8,0.0,1.0,0.0,1.0,0.09090909090909091,0.5,MiniCPM-V2.6,Exp_3_Multi_View
Hole (Through / Blind Hole),0.3696682464454976,0.1,0.6739130434782609,0.2558139534883721,0.4957983193277311,0.10294117647058823,0.25680933852140075,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Neck,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,MiniCPM-V2.6,Exp_3_Multi_View
Pipe / Tube,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,MiniCPM-V2.6,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.06,0.4,0.05263157894736842,0.0,0.10526315789473684,0.5,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,MiniCPM-V2.6,Exp_3_Multi_View
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.011764705882352941,0.6666666666666666,0.0,1.0,0.038461538461538464,0.5,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
Step (Through / Blind Step),0.08333333333333333,0.8,0.0,1.0,0.18181818181818182,0.6666666666666666,0.0,1.0,MiniCPM-V2.6,Exp_3_Multi_View
Threaded Feature,0.3333333333333333,0.25,0.5,0.5,0.5,0.0,0.0,0.0,MiniCPM-V2.6,Exp_3_Multi_View
