Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.2,0.21428571428571427,0.14285714285714285,0.0,0.3333333333333333,0.2,0.09090909090909091,0.3333333333333333,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Chamfer / Bevel (Sharp Edge),0.16666666666666666,0.9285714285714286,0.0,1.0,0.3333333333333333,0.8235294117647058,0.0,1.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Fillet / Round (Concave / Convex),0.1588785046728972,0.43902439024390244,0.0,1.0,0.14285714285714285,0.47368421052631576,0.19402985074626866,0.2777777777777778,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.8888888888888888,0.0,1.0,0.0,1.0,0.2,0.6666666666666666,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Hole (Through / Blind Hole),0.3175355450236967,0.18072289156626506,0.6304347826086957,0.40816326530612246,0.35294117647058826,0.18867924528301888,0.245136186770428,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Pipe / Tube,0.07692307692307693,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Pocket (Blind / Through / Circular End Pocket),0.28,0.38235294117647056,0.0,1.0,0.6842105263157895,0.09090909090909091,0.08333333333333333,0.9,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Slot (Through / Blind / T-Slot / Dovetail),0.2823529411764706,0.29411764705882354,0.1875,0.25,0.2692307692307692,0.36363636363636365,0.32558139534883723,0.2631578947368421,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Step (Through / Blind Step),0.625,0.41935483870967744,0.6666666666666666,0.6,0.8181818181818182,0.26666666666666666,0.4,0.5454545454545454,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
Threaded Feature,0.1111111111111111,0.9230769230769231,0.0,1.0,0.0,1.0,0.3333333333333333,0.8333333333333334,MiniCPM-V2.6,Exp_4a_Multi_View_Few_Shot
