Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.08,0.16666666666666666,0.0,0.0,0.09523809523809523,0.0,0.09090909090909091,0.3333333333333333,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.25,0.8421052631578947,0.0,1.0,0.5,0.5,0.0,1.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.028037383177570093,0.0,0.0,0.0,0.03571428571428571,0.0,0.029850746268656716,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.3696682464454976,0.15609756097560976,0.6521739130434783,0.3728813559322034,0.5210084033613446,0.12658227848101267,0.2490272373540856,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.02,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.041666666666666664,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,MiniCPM-V2.6,Exp_4b_Multi_View_Chain_of_Thougths
