Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.04,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Chamfer / Bevel (Sharp Edge),0.6666666666666666,0.9052631578947369,0.5,0.9032258064516129,0.8333333333333334,0.8064516129032258,0.0,1.0,MiniCPM,Exp_1_Basic_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Fillet / Round (Concave / Convex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.75,1.0,0.0,0.0,1.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM,Exp_1_Basic_Prompts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Hole (Through / Blind Hole),0.4099526066350711,0.08673469387755102,0.6956521739130435,0.24444444444444444,0.5210084033613446,0.08450704225352113,0.30739299610894943,0.0,MiniCPM,Exp_1_Basic_Prompts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Pocket (Blind / Through / Circular End Pocket),0.02,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.08235294117647059,0.3,0.0625,0.0,0.15384615384615385,0.2,0.046511627906976744,0.5,MiniCPM,Exp_1_Basic_Prompts
Step (Through / Blind Step),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
Threaded Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_1_Basic_Prompts
