Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.02,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,MiniCPM,Exp_2_Improved_Prompts
Chamfer / Bevel (Sharp Edge),0.6666666666666666,0.90625,0.5,0.9,0.8333333333333334,0.8064516129032258,0.0,1.0,MiniCPM,Exp_2_Improved_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Fillet / Round (Concave / Convex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.8571428571428571,1.0,0.5,0.0,1.0,0.0,1.0,MiniCPM,Exp_2_Improved_Prompts
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM,Exp_2_Improved_Prompts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Hole (Through / Blind Hole),0.3957345971563981,0.08900523560209424,0.6086956521739131,0.2682926829268293,0.5462184873949579,0.08,0.28793774319066145,0.0,MiniCPM,Exp_2_Improved_Prompts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Pocket (Blind / Through / Circular End Pocket),0.04,0.3333333333333333,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,MiniCPM,Exp_2_Improved_Prompts
Sheet Metal Features,0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.047058823529411764,0.7222222222222222,0.125,0.7692307692307693,0.07692307692307693,0.0,0.0,1.0,MiniCPM,Exp_2_Improved_Prompts
Step (Through / Blind Step),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
Threaded Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_2_Improved_Prompts
