Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.04,0.3333333333333333,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,MiniCPM,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.6666666666666666,0.9210526315789473,0.5,0.90625,0.8333333333333334,0.8421052631578947,0.0,1.0,MiniCPM,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.9090909090909091,0.0,1.0,0.0,1.0,0.2,0.5,MiniCPM,Exp_3_Multi_View
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM,Exp_3_Multi_View
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
Hole (Through / Blind Hole),0.509478672985782,0.1,0.9565217391304348,0.2597402597402597,0.6470588235294118,0.09523809523809523,0.3657587548638132,0.0,MiniCPM,Exp_3_Multi_View
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
Pipe / Tube,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.04,0.7142857142857143,0.0,1.0,0.10526315789473684,0.5,0.0,1.0,MiniCPM,Exp_3_Multi_View
Sheet Metal Features,0.125,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,MiniCPM,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.07058823529411765,0.0,0.25,0.0,0.07692307692307693,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
Step (Through / Blind Step),0.3333333333333333,0.64,0.6666666666666666,0.75,0.2727272727272727,0.5555555555555556,0.3,0.625,MiniCPM,Exp_3_Multi_View
Threaded Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_3_Multi_View
