Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.02,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.6666666666666666,0.9047619047619048,0.3333333333333333,0.9393939393939394,1.0,0.782608695652174,0.0,1.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.028037383177570093,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.9666666666666667,0.0,1.0,0.0,1.0,0.2,0.9090909090909091,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.523696682464455,0.11075949367088607,0.9130434782608695,0.3048780487804878,0.6890756302521008,0.09009009009009009,0.377431906614786,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.12,0.38461538461538464,0.0,0.0,0.3157894736842105,0.2727272727272727,0.0,1.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.125,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.023529411764705882,0.0,0.125,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.5,0.6388888888888888,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.7,0.6111111111111112,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_4b_Multi_View_Chain_of_Thougths
