,part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count,category
98,easy_1,40.0,25.0,100.0,0.29411764705882354,5,2,5,1,4,2,2,easy
49,easy_2,60.0,0.0,75.0,0.17647058823529413,3,3,5,0,4,3,4,easy
99,easy_3,100.0,50.0,100.0,0.11764705882352941,2,2,2,2,4,2,2,easy
66,easy_4,50.0,50.0,100.0,0.35294117647058826,6,3,6,3,6,2,2,easy
5,easy_5,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2,easy
46,easy_6,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,1,1,easy
71,easy_7,100.0,75.0,100.0,0.17647058823529413,3,1,1,3,4,1,1,easy
62,easy_8,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1,easy
18,easy_9,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1,easy
32,easy_10,0.0,100.0,0.0,0.5882352941176471,10,0,4,6,6,0,1,easy
65,easy_11,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1,easy
90,easy_12,100.0,50.0,100.0,0.23529411764705882,4,2,2,3,6,2,2,easy
6,easy_13,16.666666666666664,0.0,25.0,0.4117647058823529,7,1,6,0,3,1,4,easy
70,easy_14,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1,easy
64,easy_15,50.0,80.0,50.0,0.29411764705882354,5,1,2,4,5,1,2,easy
76,easy_16,100.0,50.0,100.0,0.17647058823529413,3,3,3,3,6,2,2,easy
69,easy_17,33.33333333333333,75.0,50.0,0.29411764705882354,5,1,3,3,4,1,2,easy
74,easy_18,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2,easy
94,easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2,easy
67,easy_20,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1,easy
40,easy_21,66.66666666666666,57.14285714285714,100.0,0.35294117647058826,6,2,3,4,7,2,2,easy
45,easy_22,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2,easy
48,easy_23,50.0,33.33333333333333,100.0,0.17647058823529413,3,2,4,1,3,1,1,easy
0,easy_24,33.33333333333333,33.33333333333333,100.0,0.29411764705882354,5,2,6,1,3,1,1,easy
8,easy_25,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2,easy
16,easy_26,25.0,33.33333333333333,33.33333333333333,0.29411764705882354,5,1,4,1,3,1,3,easy
13,easy_27,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3,easy
26,easy_28,16.666666666666664,33.33333333333333,33.33333333333333,0.4117647058823529,7,1,6,1,3,1,3,easy
37,easy_29,20.0,0.0,50.0,0.35294117647058826,6,1,5,0,3,1,2,easy
72,easy_30,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,1,1,easy
73,easy_31,0.0,100.0,0.0,0.47058823529411764,8,0,5,3,3,0,2,easy
41,easy_32,20.0,0.0,20.0,0.35294117647058826,6,1,5,0,3,1,5,easy
91,easy_33,0.0,100.0,0.0,0.5294117647058824,9,0,7,2,2,0,4,easy
93,hard_1,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4,hard
9,hard_2,66.66666666666666,33.33333333333333,75.0,0.23529411764705882,4,4,6,2,6,3,4,hard
87,hard_3,60.0,57.14285714285714,50.0,0.35294117647058826,6,3,5,4,7,2,4,hard
89,hard_4,9.090909090909092,50.0,25.0,0.6470588235294118,11,1,11,1,2,1,4,hard
15,hard_5,5.88235294117647,75.0,25.0,1.1176470588235294,19,1,17,3,4,1,4,hard
50,hard_6,45.45454545454545,68.75,100.0,1.0,17,5,11,11,16,4,4,hard
21,hard_7,3.2,42.857142857142854,75.0,7.294117647058823,124,4,125,3,7,3,4,hard
43,hard_8,16.666666666666664,33.33333333333333,50.0,0.6470588235294118,11,2,12,1,3,2,4,hard
29,hard_9,60.0,50.0,50.0,0.29411764705882354,5,3,5,3,6,2,4,hard
80,hard_10,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4,hard
92,hard_11,9.090909090909092,66.66666666666666,25.0,0.7058823529411765,12,1,11,2,3,1,4,hard
27,hard_12,8.333333333333332,50.0,33.33333333333333,0.7058823529411765,12,1,12,1,2,1,3,hard
17,hard_13,11.11111111111111,80.0,33.33333333333333,0.7058823529411765,12,1,9,4,5,1,3,hard
11,hard_14,25.0,62.5,50.0,0.7058823529411765,12,2,8,5,8,2,4,hard
23,hard_15,11.11111111111111,50.0,25.0,0.5294117647058824,9,1,9,1,2,1,4,hard
34,hard_16,15.384615384615385,33.33333333333333,50.0,0.7058823529411765,12,2,13,1,3,2,4,hard
86,hard_17,42.857142857142854,81.25,100.0,1.0,17,3,7,13,16,2,2,hard
