part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,66.66666666666666,50.0,0.35294117647058826,6,1,5,2,3,1,2
easy_2,80.0,37.5,75.0,0.29411764705882354,5,4,5,3,8,3,4
easy_3,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_4,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2
easy_5,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,100.0,50.0,100.0,0.058823529411764705,1,1,1,1,2,1,1
easy_8,100.0,50.0,100.0,0.058823529411764705,1,1,1,1,2,1,1
easy_9,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_10,0.0,100.0,0.0,0.5294117647058824,9,0,4,5,5,0,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,2,2
easy_13,83.33333333333334,28.57142857142857,75.0,0.17647058823529413,3,5,6,2,7,3,4
easy_14,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_15,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_16,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,2,2
easy_17,100.0,40.0,100.0,0.11764705882352941,2,3,3,2,5,2,2
easy_18,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,2,2
easy_19,50.0,50.0,50.0,0.23529411764705882,4,1,2,2,4,1,2
easy_20,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_21,100.0,25.0,100.0,0.058823529411764705,1,3,3,1,4,2,2
easy_22,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,2,2
easy_23,100.0,33.33333333333333,100.0,0.11764705882352941,2,4,4,2,6,1,1
easy_24,100.0,14.285714285714285,100.0,0.058823529411764705,1,6,6,1,7,1,1
easy_25,50.0,14.285714285714285,50.0,0.4117647058823529,7,3,6,1,7,1,2
easy_26,50.0,33.33333333333333,66.66666666666666,0.17647058823529413,3,2,4,1,3,2,3
easy_27,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3
easy_28,83.33333333333334,16.666666666666664,66.66666666666666,0.11764705882352941,2,5,6,1,6,2,3
easy_29,100.0,16.666666666666664,100.0,0.058823529411764705,1,5,5,1,6,2,2
easy_30,100.0,40.0,100.0,0.11764705882352941,2,3,3,2,5,1,1
easy_31,40.0,33.33333333333333,100.0,0.23529411764705882,4,2,5,1,3,2,2
easy_32,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
easy_33,85.71428571428571,25.0,75.0,0.17647058823529413,3,6,7,2,8,3,4
hard_1,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
hard_2,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
hard_3,60.0,0.0,75.0,0.17647058823529413,3,3,5,0,4,3,4
hard_4,63.63636363636363,12.5,75.0,0.29411764705882354,5,7,11,1,8,3,4
hard_5,58.82352941176471,9.090909090909092,75.0,0.47058823529411764,8,10,17,1,11,3,4
hard_6,63.63636363636363,0.0,75.0,0.29411764705882354,5,7,11,0,8,3,4
hard_7,41.6,8.771929824561402,25.0,4.588235294117647,78,52,125,5,57,1,4
hard_8,33.33333333333333,33.33333333333333,75.0,0.5882352941176471,10,4,12,2,6,3,4
hard_9,80.0,20.0,75.0,0.11764705882352941,2,4,5,1,5,3,4
hard_10,88.88888888888889,0.0,100.0,0.11764705882352941,2,8,9,0,9,4,4
hard_11,63.63636363636363,22.22222222222222,100.0,0.35294117647058826,6,7,11,2,9,4,4
hard_12,75.0,18.181818181818183,66.66666666666666,0.29411764705882354,5,9,12,2,11,2,3
hard_13,22.22222222222222,33.33333333333333,66.66666666666666,0.47058823529411764,8,2,9,1,3,2,3
hard_14,25.0,40.0,50.0,0.5294117647058824,9,2,8,2,5,2,4
hard_15,33.33333333333333,25.0,50.0,0.4117647058823529,7,3,9,1,4,2,4
hard_16,84.61538461538461,0.0,75.0,0.11764705882352941,2,11,13,0,11,3,4
hard_17,85.71428571428571,25.0,100.0,0.17647058823529413,3,6,7,2,8,2,2
hard_18,57.14285714285714,20.0,100.0,0.23529411764705882,4,4,7,1,5,3,3
hard_19,30.76923076923077,14.285714285714285,60.0,0.7058823529411765,12,4,13,1,7,3,5
hard_20,100.0,3.8461538461538463,100.0,0.4117647058823529,7,19,19,1,26,2,2
hard_21,66.66666666666666,25.0,66.66666666666666,0.29411764705882354,5,6,9,2,8,2,3
hard_22,100.0,16.666666666666664,100.0,0.058823529411764705,1,5,5,1,6,4,4
hard_23,28.57142857142857,33.33333333333333,66.66666666666666,0.35294117647058826,6,2,7,1,3,2,3
hard_24,37.5,20.0,60.0,0.4117647058823529,7,3,8,1,5,3,5
hard_25,50.0,8.333333333333332,66.66666666666666,0.7058823529411765,12,11,22,1,12,2,3
hard_26,66.66666666666666,86.66666666666667,50.0,0.8235294117647058,14,2,3,13,15,1,2
hard_27,88.88888888888889,11.11111111111111,100.0,0.11764705882352941,2,8,9,1,9,2,2
hard_28,72.72727272727273,27.27272727272727,66.66666666666666,0.35294117647058826,6,8,11,3,11,2,3
hard_29,88.88888888888889,38.46153846153847,75.0,0.35294117647058826,6,8,9,5,13,3,4
hard_30,57.14285714285714,33.33333333333333,100.0,0.29411764705882354,5,4,7,2,6,3,3
hard_31,41.17647058823529,22.22222222222222,50.0,0.7058823529411765,12,7,17,2,9,2,4
hard_32,54.54545454545454,30.0,50.0,0.5294117647058824,9,6,11,3,10,2,4
hard_33,62.5,28.57142857142857,80.0,0.29411764705882354,5,5,8,2,7,4,5
hard_34,100.0,41.66666666666667,100.0,0.29411764705882354,5,7,7,5,12,2,2
medium_1,75.0,25.0,100.0,0.11764705882352941,2,3,4,1,4,2,2
medium_2,100.0,0.0,100.0,0.0,0,4,4,0,4,4,4
medium_3,80.0,0.0,75.0,0.058823529411764705,1,4,5,0,4,3,4
medium_4,80.0,14.285714285714285,100.0,0.23529411764705882,4,4,5,1,7,2,2
medium_5,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
medium_6,66.66666666666666,57.14285714285714,66.66666666666666,0.35294117647058826,6,2,3,4,7,2,3
medium_7,50.0,50.0,66.66666666666666,0.35294117647058826,6,2,4,3,6,2,3
medium_8,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
medium_9,50.0,60.0,66.66666666666666,0.29411764705882354,5,2,4,3,5,2,3
medium_10,60.0,25.0,100.0,0.17647058823529413,3,3,5,1,4,2,2
medium_11,40.0,33.33333333333333,40.0,0.23529411764705882,4,2,5,1,3,2,5
medium_12,33.33333333333333,20.0,66.66666666666666,0.4117647058823529,7,2,6,1,5,2,3
medium_13,54.54545454545454,0.0,66.66666666666666,0.35294117647058826,6,6,11,0,7,4,6
medium_14,80.0,0.0,80.0,0.058823529411764705,1,4,5,0,4,4,5
medium_15,78.57142857142857,0.0,66.66666666666666,0.35294117647058826,6,22,28,0,22,4,6
medium_16,50.0,40.0,100.0,0.29411764705882354,5,3,6,2,5,2,2
medium_17,76.47058823529412,13.333333333333334,50.0,0.35294117647058826,6,13,17,2,15,1,2
medium_18,25.0,80.0,50.0,0.4117647058823529,7,1,4,4,5,1,2
medium_19,50.0,50.0,50.0,0.23529411764705882,4,2,4,2,4,1,2
medium_20,56.25,0.0,50.0,0.47058823529411764,8,9,16,0,10,4,8
medium_21,66.66666666666666,42.857142857142854,75.0,0.29411764705882354,5,4,6,3,7,3,4
medium_22,71.42857142857143,16.666666666666664,50.0,0.17647058823529413,3,5,7,1,6,1,2
medium_23,83.33333333333334,16.666666666666664,100.0,0.11764705882352941,2,5,6,1,6,3,3
medium_24,66.66666666666666,20.0,75.0,0.17647058823529413,3,4,6,1,5,3,4
medium_25,52.94117647058824,10.0,50.0,0.5294117647058824,9,9,17,1,10,1,2
medium_26,100.0,4.761904761904762,100.0,0.11764705882352941,2,19,19,1,21,1,1
medium_27,100.0,33.33333333333333,100.0,0.11764705882352941,2,4,4,2,6,2,2
medium_28,25.0,66.66666666666666,50.0,0.29411764705882354,5,1,4,2,3,1,2
medium_29,80.0,20.0,100.0,0.11764705882352941,2,4,5,1,5,3,3
medium_30,66.66666666666666,60.0,50.0,0.23529411764705882,4,2,3,3,5,1,2
medium_31,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
medium_32,71.42857142857143,25.0,66.66666666666666,0.29411764705882354,5,5,7,2,8,2,3
medium_33,100.0,14.285714285714285,100.0,0.058823529411764705,1,6,6,1,7,2,2
