part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,60.0,40.0,100.0,0.23529411764705882,4,3,5,2,5,2,2
easy_2,80.0,0.0,75.0,0.11764705882352941,2,4,5,0,5,3,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2
easy_5,50.0,50.0,50.0,0.23529411764705882,4,1,2,2,4,1,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_13,66.66666666666666,33.33333333333333,50.0,0.23529411764705882,4,4,6,2,6,2,4
easy_14,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_15,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_16,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,2,2
easy_17,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,2,2
easy_18,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_19,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_20,50.0,0.0,100.0,0.058823529411764705,1,1,2,0,1,1,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,2,2
easy_23,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,14.285714285714285,50.0,0.4117647058823529,7,3,6,1,7,1,2
easy_26,50.0,0.0,66.66666666666666,0.11764705882352941,2,2,4,0,2,2,3
easy_27,66.66666666666666,33.33333333333333,66.66666666666666,0.11764705882352941,2,2,3,1,3,2,3
easy_28,83.33333333333334,50.0,66.66666666666666,0.35294117647058826,6,5,6,5,10,2,3
easy_29,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_30,100.0,0.0,100.0,0.0,0,3,3,0,3,1,1
easy_31,40.0,0.0,100.0,0.17647058823529413,3,2,5,0,2,2,2
easy_32,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
easy_33,85.71428571428571,14.285714285714285,75.0,0.11764705882352941,2,6,7,1,7,3,4
hard_1,66.66666666666666,20.0,75.0,0.17647058823529413,3,4,6,1,5,3,4
hard_2,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
hard_3,80.0,0.0,100.0,0.11764705882352941,2,4,5,0,5,4,4
hard_4,81.81818181818183,7.6923076923076925,75.0,0.35294117647058826,6,9,11,1,13,3,4
hard_5,76.47058823529412,0.0,75.0,0.23529411764705882,4,13,17,0,13,3,4
hard_6,63.63636363636363,0.0,75.0,0.29411764705882354,5,7,11,0,8,3,4
hard_7,39.2,0.0,50.0,4.470588235294118,76,49,125,0,49,2,4
hard_8,33.33333333333333,0.0,75.0,0.47058823529411764,8,4,12,0,4,3,4
hard_9,80.0,20.0,75.0,0.11764705882352941,2,4,5,1,5,3,4
hard_10,100.0,0.0,100.0,0.0,0,9,9,0,9,4,4
hard_11,63.63636363636363,12.5,100.0,0.29411764705882354,5,7,11,1,8,4,4
hard_12,83.33333333333334,16.666666666666664,100.0,0.23529411764705882,4,10,12,2,12,3,3
hard_13,22.22222222222222,0.0,66.66666666666666,0.4117647058823529,7,2,9,0,2,2,3
hard_14,62.5,33.33333333333333,50.0,0.4117647058823529,7,5,8,3,9,2,4
hard_15,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4
hard_16,53.84615384615385,0.0,50.0,0.35294117647058826,6,7,13,0,7,2,4
hard_17,85.71428571428571,0.0,100.0,0.058823529411764705,1,6,7,0,6,2,2
hard_18,57.14285714285714,0.0,100.0,0.17647058823529413,3,4,7,0,4,3,3
hard_19,30.76923076923077,0.0,60.0,0.6470588235294118,11,4,13,0,6,3,5
hard_20,100.0,0.0,100.0,0.35294117647058826,6,19,19,0,25,2,2
hard_21,66.66666666666666,14.285714285714285,66.66666666666666,0.23529411764705882,4,6,9,1,7,2,3
hard_22,100.0,0.0,100.0,0.0,0,5,5,0,5,4,4
hard_23,28.57142857142857,0.0,66.66666666666666,0.29411764705882354,5,2,7,0,2,2,3
hard_24,62.5,0.0,80.0,0.23529411764705882,4,5,8,0,6,4,5
hard_25,50.0,0.0,66.66666666666666,0.6470588235294118,11,11,22,0,11,2,3
hard_26,100.0,57.14285714285714,100.0,0.23529411764705882,4,3,3,4,7,2,2
hard_27,88.88888888888889,11.11111111111111,100.0,0.11764705882352941,2,8,9,1,9,2,2
hard_28,45.45454545454545,16.666666666666664,66.66666666666666,0.4117647058823529,7,5,11,1,6,2,3
hard_29,100.0,30.76923076923077,100.0,0.23529411764705882,4,9,9,4,13,4,4
hard_30,42.857142857142854,0.0,66.66666666666666,0.23529411764705882,4,3,7,0,3,2,3
hard_31,47.05882352941176,11.11111111111111,75.0,0.5882352941176471,10,8,17,1,9,3,4
hard_32,54.54545454545454,0.0,50.0,0.35294117647058826,6,6,11,0,7,2,4
hard_33,62.5,16.666666666666664,80.0,0.23529411764705882,4,5,8,1,6,4,5
hard_34,100.0,12.5,100.0,0.058823529411764705,1,7,7,1,8,2,2
medium_1,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2
medium_2,75.0,25.0,75.0,0.11764705882352941,2,3,4,1,4,3,4
medium_3,80.0,0.0,75.0,0.058823529411764705,1,4,5,0,4,3,4
medium_4,60.0,57.14285714285714,50.0,0.35294117647058826,6,3,5,4,7,1,2
medium_5,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
medium_6,66.66666666666666,42.857142857142854,66.66666666666666,0.35294117647058826,6,2,3,3,7,2,3
medium_7,50.0,40.0,66.66666666666666,0.29411764705882354,5,2,4,2,5,2,3
medium_8,33.33333333333333,50.0,25.0,0.35294117647058826,6,2,6,2,4,1,4
