part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_2,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,66.66666666666666,0.0,100.0,0.11764705882352941,2,4,6,0,4,2,2
easy_5,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_10,25.0,66.66666666666666,100.0,0.29411764705882354,5,1,4,2,3,1,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_13,83.33333333333334,0.0,100.0,0.058823529411764705,1,5,6,0,5,4,4
easy_14,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_15,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_16,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,2,2
easy_17,66.66666666666666,50.0,100.0,0.17647058823529413,3,2,3,2,4,2,2
easy_18,100.0,0.0,100.0,0.6470588235294118,11,2,2,0,13,2,2
easy_19,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_20,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_23,100.0,0.0,100.0,0.0,0,4,4,0,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.29411764705882354,5,3,6,0,5,1,2
easy_26,100.0,0.0,100.0,0.0,0,4,4,0,4,3,3
easy_27,100.0,0.0,100.0,0.0,0,3,3,0,3,3,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
easy_29,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_30,100.0,0.0,100.0,0.0,0,3,3,0,3,1,1
easy_31,40.0,0.0,100.0,0.17647058823529413,3,2,5,0,2,2,2
easy_32,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
easy_33,85.71428571428571,0.0,75.0,0.058823529411764705,1,6,7,0,6,3,4
hard_1,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_2,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_3,60.0,0.0,50.0,0.11764705882352941,2,3,5,0,3,2,4
hard_4,81.81818181818183,0.0,75.0,0.11764705882352941,2,9,11,0,9,3,4
hard_5,29.411764705882355,47.05882352941176,50.0,1.411764705882353,24,5,17,8,17,2,4
hard_6,36.36363636363637,20.0,25.0,0.47058823529411764,8,4,11,1,5,1,4
hard_7,2.4,57.14285714285714,50.0,7.411764705882353,126,3,125,4,7,2,4
hard_8,75.0,0.0,50.0,0.17647058823529413,3,9,12,0,9,2,4
hard_9,80.0,20.0,75.0,0.11764705882352941,2,4,5,1,5,3,4
hard_10,66.66666666666666,0.0,75.0,0.17647058823529413,3,6,9,0,6,3,4
hard_11,81.81818181818183,0.0,75.0,0.11764705882352941,2,9,11,0,9,3,4
hard_12,91.66666666666666,0.0,66.66666666666666,0.058823529411764705,1,11,12,0,11,2,3
hard_13,66.66666666666666,14.285714285714285,66.66666666666666,0.23529411764705882,4,6,9,1,7,2,3
hard_14,37.5,20.0,50.0,0.4117647058823529,7,3,8,1,5,2,4
hard_15,11.11111111111111,66.66666666666666,25.0,0.5882352941176471,10,1,9,2,3,1,4
hard_16,61.53846153846154,20.0,50.0,0.4117647058823529,7,8,13,2,10,2,4
hard_17,85.71428571428571,0.0,100.0,0.058823529411764705,1,6,7,0,6,2,2
hard_18,71.42857142857143,0.0,66.66666666666666,0.11764705882352941,2,5,7,0,5,2,3
hard_19,53.84615384615385,0.0,60.0,0.35294117647058826,6,7,13,0,7,3,5
hard_20,57.89473684210527,0.0,100.0,0.47058823529411764,8,11,19,0,11,2,2
hard_21,77.77777777777779,12.5,66.66666666666666,0.17647058823529413,3,7,9,1,8,2,3
hard_22,60.0,25.0,50.0,0.17647058823529413,3,3,5,1,4,2,4
hard_23,28.57142857142857,71.42857142857143,66.66666666666666,0.5882352941176471,10,2,7,5,7,2,3
hard_24,75.0,12.5,60.0,0.23529411764705882,4,6,8,1,8,3,5
