part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_2,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,66.66666666666666,0.0,100.0,0.11764705882352941,2,4,6,0,4,2,2
easy_5,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_13,83.33333333333334,0.0,100.0,0.058823529411764705,1,5,6,0,5,4,4
easy_14,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_15,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_16,33.33333333333333,50.0,50.0,0.17647058823529413,3,1,3,1,2,1,2
easy_17,66.66666666666666,50.0,100.0,0.17647058823529413,3,2,3,2,4,2,2
easy_18,100.0,0.0,100.0,0.6470588235294118,11,2,2,0,13,2,2
easy_19,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_20,0.0,100.0,0.0,0.17647058823529413,3,0,2,1,1,0,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_23,100.0,0.0,100.0,0.0,0,4,4,0,4,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.29411764705882354,5,3,6,0,5,1,2
easy_26,100.0,0.0,100.0,0.0,0,4,4,0,4,3,3
easy_27,66.66666666666666,0.0,66.66666666666666,0.058823529411764705,1,2,3,0,2,2,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
easy_29,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_30,100.0,0.0,100.0,0.0,0,3,3,0,3,1,1
easy_31,40.0,0.0,100.0,0.17647058823529413,3,2,5,0,2,2,2
easy_32,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
easy_33,85.71428571428571,0.0,75.0,0.058823529411764705,1,6,7,0,6,3,4
hard_1,66.66666666666666,0.0,75.0,0.11764705882352941,2,4,6,0,4,3,4
hard_2,50.0,0.0,50.0,0.17647058823529413,3,3,6,0,3,2,4
hard_3,60.0,0.0,50.0,0.11764705882352941,2,3,5,0,3,2,4
hard_4,72.72727272727273,0.0,50.0,0.17647058823529413,3,8,11,0,8,2,4
hard_5,29.411764705882355,0.0,50.0,0.9411764705882353,16,5,17,0,9,2,4
hard_6,36.36363636363637,0.0,25.0,0.4117647058823529,7,4,11,0,4,1,4
hard_7,2.4,72.72727272727273,50.0,7.647058823529412,130,3,125,8,11,2,4
hard_8,83.33333333333334,0.0,75.0,0.11764705882352941,2,10,12,0,10,3,4
hard_9,80.0,20.0,75.0,0.11764705882352941,2,4,5,1,5,3,4
hard_10,77.77777777777779,0.0,75.0,0.11764705882352941,2,7,9,0,7,3,4
hard_11,54.54545454545454,0.0,75.0,0.29411764705882354,5,6,11,0,6,3,4
hard_12,75.0,18.181818181818183,66.66666666666666,0.29411764705882354,5,9,12,2,11,2,3
hard_13,66.66666666666666,0.0,66.66666666666666,0.17647058823529413,3,6,9,0,6,2,3
hard_14,87.5,11.11111111111111,75.0,0.17647058823529413,3,7,8,1,9,3,4
hard_15,11.11111111111111,50.0,25.0,0.5294117647058824,9,1,9,1,2,1,4
hard_16,61.53846153846154,20.0,50.0,0.4117647058823529,7,8,13,2,10,2,4
hard_17,85.71428571428571,0.0,100.0,0.058823529411764705,1,6,7,0,6,2,2
hard_18,71.42857142857143,0.0,66.66666666666666,0.11764705882352941,2,5,7,0,5,2,3
hard_19,53.84615384615385,0.0,60.0,0.35294117647058826,6,7,13,0,7,3,5
hard_20,100.0,0.0,100.0,0.11764705882352941,2,19,19,0,21,2,2
hard_21,77.77777777777779,0.0,66.66666666666666,0.11764705882352941,2,7,9,0,7,2,3
hard_22,60.0,25.0,50.0,0.17647058823529413,3,3,5,1,4,2,4
hard_23,100.0,0.0,100.0,0.0,0,7,7,0,7,3,3
hard_24,87.5,0.0,80.0,0.11764705882352941,2,7,8,0,8,4,5
