part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_2,40.0,0.0,50.0,0.23529411764705882,4,2,5,0,3,2,4
easy_3,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_4,66.66666666666666,0.0,100.0,0.11764705882352941,2,4,6,0,4,2,2
easy_5,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_6,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_7,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_8,100.0,0.0,100.0,0.0,0,1,1,0,1,1,1
easy_9,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_10,25.0,75.0,100.0,0.35294117647058826,6,1,4,3,4,1,1
easy_11,100.0,0.0,100.0,0.0,0,2,2,0,2,1,1
easy_12,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_13,83.33333333333334,0.0,100.0,0.058823529411764705,1,5,6,0,5,4,4
easy_14,50.0,66.66666666666666,100.0,0.17647058823529413,3,1,2,2,3,1,1
easy_15,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_16,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,2,2
easy_17,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
easy_18,50.0,0.0,50.0,0.7058823529411765,12,1,2,0,12,1,2
easy_19,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_20,50.0,50.0,100.0,0.11764705882352941,2,1,2,1,2,1,1
easy_21,100.0,0.0,100.0,0.0,0,3,3,0,3,2,2
easy_22,100.0,0.0,100.0,0.0,0,2,2,0,2,2,2
easy_23,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,1,1
easy_24,100.0,0.0,100.0,0.0,0,6,6,0,6,1,1
easy_25,50.0,0.0,50.0,0.17647058823529413,3,3,6,0,3,1,2
easy_26,100.0,0.0,100.0,0.0,0,4,4,0,4,3,3
easy_27,66.66666666666666,0.0,66.66666666666666,0.058823529411764705,1,2,3,0,2,2,3
easy_28,83.33333333333334,0.0,66.66666666666666,0.058823529411764705,1,5,6,0,5,2,3
easy_29,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_30,100.0,0.0,100.0,0.0,0,3,3,0,3,1,1
easy_31,100.0,0.0,100.0,0.0,0,5,5,0,5,2,2
easy_32,60.0,0.0,60.0,0.17647058823529413,3,3,5,0,4,3,5
easy_33,71.42857142857143,0.0,75.0,0.11764705882352941,2,5,7,0,5,3,4
hard_1,66.66666666666666,0.0,50.0,0.11764705882352941,2,4,6,0,4,2,4
hard_2,83.33333333333334,0.0,75.0,0.058823529411764705,1,5,6,0,5,3,4
hard_3,60.0,0.0,50.0,0.11764705882352941,2,3,5,0,3,2,4
hard_4,36.36363636363637,0.0,25.0,0.4117647058823529,7,4,11,0,4,1,4
hard_5,29.411764705882355,38.095238095238095,50.0,1.6470588235294117,28,5,17,8,21,2,4
hard_6,45.45454545454545,0.0,50.0,0.35294117647058826,6,5,11,0,5,2,4
hard_7,2.4,0.0,50.0,7.176470588235294,122,3,125,0,3,2,4
hard_8,75.0,0.0,50.0,0.17647058823529413,3,9,12,0,9,2,4
hard_9,60.0,0.0,50.0,0.11764705882352941,2,3,5,0,3,2,4
hard_10,44.44444444444444,0.0,50.0,0.35294117647058826,6,4,9,0,5,2,4
hard_11,81.81818181818183,0.0,75.0,0.11764705882352941,2,9,11,0,9,3,4
hard_12,75.0,0.0,66.66666666666666,0.17647058823529413,3,9,12,0,9,2,3
hard_13,66.66666666666666,0.0,66.66666666666666,0.17647058823529413,3,6,9,0,6,2,3
hard_14,37.5,20.0,50.0,0.4117647058823529,7,3,8,1,5,2,4
hard_15,22.22222222222222,0.0,25.0,0.4117647058823529,7,2,9,0,2,1,4
hard_16,30.76923076923077,0.0,25.0,0.5294117647058824,9,4,13,0,4,1,4
hard_17,100.0,0.0,100.0,0.0,0,7,7,0,7,2,2
hard_18,57.14285714285714,0.0,66.66666666666666,0.17647058823529413,3,4,7,0,4,2,3
hard_19,23.076923076923077,0.0,40.0,0.7058823529411765,12,3,13,0,5,2,5
hard_20,100.0,0.0,100.0,0.11764705882352941,2,19,19,0,21,2,2
hard_21,77.77777777777779,0.0,66.66666666666666,0.11764705882352941,2,7,9,0,7,2,3
hard_22,60.0,25.0,50.0,0.17647058823529413,3,3,5,1,4,2,4
hard_23,28.57142857142857,0.0,66.66666666666666,0.29411764705882354,5,2,7,0,2,2,3
hard_24,25.0,25.0,40.0,0.47058823529411764,8,2,8,1,4,2,5
hard_25,68.18181818181817,0.0,100.0,0.4117647058823529,7,15,22,0,15,3,3
