part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,0.0,50.0,0.29411764705882354,5,1,5,0,2,1,2
easy_2,20.0,0.0,25.0,0.29411764705882354,5,1,5,0,2,1,4
easy_3,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,2,2
easy_4,50.0,57.14285714285714,100.0,0.4117647058823529,7,3,6,4,7,2,2
easy_5,100.0,55.55555555555556,100.0,0.4117647058823529,7,2,2,5,9,2,2
easy_6,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,1,1
easy_7,100.0,87.5,100.0,0.4117647058823529,7,1,1,7,8,1,1
easy_8,0.0,100.0,0.0,0.4117647058823529,7,0,1,6,6,0,1
easy_9,50.0,85.71428571428571,100.0,0.4117647058823529,7,1,2,6,7,1,1
easy_10,25.0,83.33333333333334,100.0,0.47058823529411764,8,1,4,5,6,1,1
easy_11,50.0,87.5,100.0,0.47058823529411764,8,1,2,7,8,1,1
easy_12,100.0,57.14285714285714,100.0,0.29411764705882354,5,2,2,4,7,2,2
easy_13,83.33333333333334,37.5,100.0,0.23529411764705882,4,5,6,3,8,4,4
easy_14,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_15,50.0,87.5,50.0,0.47058823529411764,8,1,2,7,8,1,2
easy_16,100.0,50.0,100.0,0.17647058823529413,3,3,3,3,6,2,2
easy_17,66.66666666666666,71.42857142857143,100.0,0.35294117647058826,6,2,3,5,7,2,2
easy_18,50.0,0.0,50.0,0.11764705882352941,2,1,2,0,2,1,2
easy_19,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_20,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,1
easy_21,66.66666666666666,57.14285714285714,100.0,0.35294117647058826,6,2,3,4,7,2,2
easy_22,100.0,0.0,100.0,0.17647058823529413,3,2,2,0,5,2,2
easy_23,50.0,0.0,100.0,0.11764705882352941,2,2,4,0,2,1,1
easy_24,33.33333333333333,0.0,100.0,0.23529411764705882,4,2,6,0,2,1,1
easy_25,33.33333333333333,0.0,50.0,0.23529411764705882,4,2,6,0,2,1,2
easy_26,25.0,0.0,33.33333333333333,0.23529411764705882,4,1,4,0,2,1,3
easy_27,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,3
easy_28,16.666666666666664,0.0,33.33333333333333,0.35294117647058826,6,1,6,0,2,1,3
easy_29,40.0,0.0,50.0,0.17647058823529413,3,2,5,0,2,1,2
easy_30,66.66666666666666,0.0,100.0,0.058823529411764705,1,2,3,0,2,1,1
easy_31,60.0,62.5,100.0,0.4117647058823529,7,3,5,5,8,2,2
easy_32,60.0,50.0,60.0,0.4117647058823529,7,3,5,4,8,3,5
easy_33,28.57142857142857,0.0,25.0,0.29411764705882354,5,2,7,0,2,1,4
hard_1,33.33333333333333,0.0,25.0,0.23529411764705882,4,2,6,0,2,1,4
hard_2,50.0,62.5,50.0,0.47058823529411764,8,3,6,5,8,2,4
hard_3,60.0,62.5,50.0,0.4117647058823529,7,3,5,5,8,2,4
hard_4,36.36363636363637,50.0,75.0,0.6470588235294118,11,4,11,4,8,3,4
hard_5,17.647058823529413,62.5,50.0,1.1176470588235294,19,3,17,5,8,2,4
hard_6,18.181818181818183,0.0,25.0,0.5294117647058824,9,2,11,0,2,1,4
hard_7,3.2,50.0,75.0,7.352941176470588,125,4,125,4,8,3,4
hard_8,16.666666666666664,33.33333333333333,25.0,0.6470588235294118,11,2,12,1,3,1,4
hard_9,40.0,0.0,25.0,0.17647058823529413,3,2,5,0,2,1,4
hard_10,33.33333333333333,66.66666666666666,50.0,0.8823529411764706,15,3,9,8,12,2,4
hard_11,36.36363636363637,50.0,75.0,0.6470588235294118,11,4,11,4,8,3,4
hard_12,25.0,57.14285714285714,66.66666666666666,0.7647058823529411,13,3,12,4,7,2,3
hard_13,22.22222222222222,0.0,33.33333333333333,0.4117647058823529,7,2,9,0,2,1,3
hard_14,12.5,75.0,25.0,0.8235294117647058,14,1,8,6,8,1,4
hard_15,0.0,100.0,0.0,0.6470588235294118,11,0,9,2,2,0,4
hard_16,30.76923076923077,50.0,75.0,0.7647058823529411,13,4,13,4,8,3,4
hard_17,42.857142857142854,66.66666666666666,100.0,0.5882352941176471,10,3,7,6,9,2,2
hard_18,42.857142857142854,62.5,66.66666666666666,0.5294117647058824,9,3,7,5,8,2,3
