part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,40.0,25.0,100.0,0.29411764705882354,5,2,5,1,4,2,2
easy_2,60.0,0.0,75.0,0.17647058823529413,3,3,5,0,4,3,4
easy_3,100.0,50.0,100.0,0.11764705882352941,2,2,2,2,4,2,2
easy_4,50.0,50.0,100.0,0.35294117647058826,6,3,6,3,6,2,2
easy_5,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2
easy_6,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,1,1
easy_7,100.0,75.0,100.0,0.17647058823529413,3,1,1,3,4,1,1
easy_8,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1
easy_9,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_10,0.0,100.0,0.0,0.5882352941176471,10,0,4,6,6,0,1
easy_11,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1
easy_12,100.0,50.0,100.0,0.23529411764705882,4,2,2,3,6,2,2
easy_13,16.666666666666664,0.0,25.0,0.4117647058823529,7,1,6,0,3,1,4
easy_14,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1
easy_15,50.0,80.0,50.0,0.29411764705882354,5,1,2,4,5,1,2
easy_16,100.0,50.0,100.0,0.17647058823529413,3,3,3,3,6,2,2
easy_17,33.33333333333333,75.0,50.0,0.29411764705882354,5,1,3,3,4,1,2
easy_18,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_20,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_21,66.66666666666666,57.14285714285714,100.0,0.35294117647058826,6,2,3,4,7,2,2
easy_22,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_23,50.0,33.33333333333333,100.0,0.17647058823529413,3,2,4,1,3,1,1
easy_24,33.33333333333333,33.33333333333333,100.0,0.29411764705882354,5,2,6,1,3,1,1
easy_25,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2
easy_26,25.0,33.33333333333333,33.33333333333333,0.29411764705882354,5,1,4,1,3,1,3
easy_27,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3
easy_28,16.666666666666664,33.33333333333333,33.33333333333333,0.4117647058823529,7,1,6,1,3,1,3
easy_29,20.0,0.0,50.0,0.35294117647058826,6,1,5,0,3,1,2
easy_30,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,1,1
easy_31,0.0,100.0,0.0,0.47058823529411764,8,0,5,3,3,0,2
easy_32,20.0,0.0,20.0,0.35294117647058826,6,1,5,0,3,1,5
easy_33,0.0,100.0,0.0,0.5294117647058824,9,0,7,2,2,0,4
hard_1,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
hard_2,66.66666666666666,33.33333333333333,75.0,0.23529411764705882,4,4,6,2,6,3,4
hard_3,60.0,57.14285714285714,50.0,0.35294117647058826,6,3,5,4,7,2,4
hard_4,9.090909090909092,50.0,25.0,0.6470588235294118,11,1,11,1,2,1,4
hard_5,5.88235294117647,75.0,25.0,1.1176470588235294,19,1,17,3,4,1,4
hard_6,45.45454545454545,68.75,100.0,1.0,17,5,11,11,16,4,4
hard_7,3.2,42.857142857142854,75.0,7.294117647058823,124,4,125,3,7,3,4
hard_8,16.666666666666664,33.33333333333333,50.0,0.6470588235294118,11,2,12,1,3,2,4
hard_9,60.0,50.0,50.0,0.29411764705882354,5,3,5,3,6,2,4
hard_10,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4
hard_11,9.090909090909092,66.66666666666666,25.0,0.7058823529411765,12,1,11,2,3,1,4
hard_12,8.333333333333332,50.0,33.33333333333333,0.7058823529411765,12,1,12,1,2,1,3
hard_13,11.11111111111111,80.0,33.33333333333333,0.7058823529411765,12,1,9,4,5,1,3
hard_14,25.0,62.5,50.0,0.7058823529411765,12,2,8,5,8,2,4
hard_15,11.11111111111111,50.0,25.0,0.5294117647058824,9,1,9,1,2,1,4
hard_16,15.384615384615385,33.33333333333333,50.0,0.7058823529411765,12,2,13,1,3,2,4
hard_17,42.857142857142854,81.25,100.0,1.0,17,3,7,13,16,2,2
hard_18,28.57142857142857,33.33333333333333,66.66666666666666,0.35294117647058826,6,2,7,1,3,2,3
hard_19,30.76923076923077,71.42857142857143,80.0,1.1176470588235294,19,4,13,10,14,4,5
hard_20,5.263157894736842,33.33333333333333,50.0,1.1764705882352942,20,1,19,1,3,1,2
hard_21,33.33333333333333,0.0,66.66666666666666,0.35294117647058826,6,3,9,0,3,2,3
hard_22,100.0,68.75,100.0,0.6470588235294118,11,5,5,11,16,4,4
hard_23,14.285714285714285,66.66666666666666,33.33333333333333,0.6470588235294118,11,1,7,4,6,1,3
hard_24,62.5,62.5,100.0,0.8235294117647058,14,5,8,10,16,5,5
hard_25,9.090909090909092,0.0,66.66666666666666,1.1764705882352942,20,2,22,0,2,2,3
hard_26,66.66666666666666,71.42857142857143,50.0,0.35294117647058826,6,2,3,5,7,1,2
hard_27,22.22222222222222,33.33333333333333,50.0,0.47058823529411764,8,2,9,1,3,1,2
