part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_2,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,2,4
easy_3,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_4,50.0,0.0,100.0,0.17647058823529413,3,3,6,0,3,2,2
easy_5,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_8,100.0,0.0,100.0,1.1176470588235294,19,1,1,0,20,1,1
easy_9,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_12,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2
easy_13,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4
easy_14,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,1
easy_15,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_16,66.66666666666666,33.33333333333333,50.0,0.11764705882352941,2,2,3,1,3,1,2
easy_17,0.0,100.0,0.0,0.23529411764705882,4,0,3,1,1,0,2
easy_18,100.0,4.545454545454546,100.0,1.1764705882352942,20,2,2,1,22,2,2
easy_19,0.0,100.0,0.0,0.23529411764705882,4,0,2,2,2,0,2
easy_20,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_21,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
easy_22,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2
easy_23,50.0,33.33333333333333,100.0,0.17647058823529413,3,2,4,1,3,1,1
easy_24,66.66666666666666,0.0,100.0,0.11764705882352941,2,4,6,0,4,1,1
easy_25,50.0,0.0,50.0,0.23529411764705882,4,3,6,0,4,1,2
easy_26,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
easy_27,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,3
easy_28,16.666666666666664,50.0,33.33333333333333,0.35294117647058826,6,1,6,1,2,1,3
easy_29,40.0,33.33333333333333,50.0,0.23529411764705882,4,2,5,1,3,1,2
easy_30,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,1,1
easy_31,20.0,50.0,50.0,0.29411764705882354,5,1,5,1,2,1,2
easy_32,40.0,33.33333333333333,40.0,0.23529411764705882,4,2,5,1,3,2,5
easy_33,28.57142857142857,33.33333333333333,25.0,0.35294117647058826,6,2,7,1,3,1,4
hard_1,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_2,33.33333333333333,33.33333333333333,25.0,0.29411764705882354,5,2,6,1,3,1,4
hard_3,20.0,66.66666666666666,25.0,0.35294117647058826,6,1,5,2,3,1,4
hard_4,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_5,23.52941176470588,20.0,25.0,0.8235294117647058,14,4,17,1,5,1,4
hard_6,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_7,3.2,20.0,25.0,7.176470588235294,122,4,125,1,5,1,4
hard_8,16.666666666666664,33.33333333333333,25.0,0.6470588235294118,11,2,12,1,3,1,4
hard_9,40.0,33.33333333333333,25.0,0.23529411764705882,4,2,5,1,3,1,4
hard_10,33.33333333333333,25.0,25.0,0.4117647058823529,7,3,9,1,4,1,4
hard_11,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_12,66.66666666666666,11.11111111111111,33.33333333333333,0.29411764705882354,5,8,12,1,9,1,3
hard_13,11.11111111111111,50.0,33.33333333333333,0.5294117647058824,9,1,9,1,2,1,3
hard_14,12.5,50.0,25.0,0.47058823529411764,8,1,8,1,2,1,4
hard_15,11.11111111111111,0.0,25.0,0.47058823529411764,8,1,9,0,1,1,4
hard_16,15.384615384615385,33.33333333333333,25.0,0.7058823529411765,12,2,13,1,3,1,4
hard_17,42.857142857142854,20.0,50.0,0.35294117647058826,6,3,7,1,5,1,2
hard_18,14.285714285714285,50.0,33.33333333333333,0.4117647058823529,7,1,7,1,2,1,3
hard_19,15.384615384615385,33.33333333333333,20.0,0.7058823529411765,12,2,13,1,3,1,5
hard_20,5.263157894736842,50.0,50.0,1.1176470588235294,19,1,19,1,2,1,2
hard_21,44.44444444444444,20.0,33.33333333333333,0.35294117647058826,6,4,9,1,5,1,3
hard_22,20.0,50.0,25.0,0.29411764705882354,5,1,5,1,2,1,4
hard_23,28.57142857142857,7.142857142857142,66.66666666666666,1.0,17,2,7,1,14,2,3
hard_24,12.5,50.0,20.0,0.47058823529411764,8,1,8,1,2,1,5
hard_25,18.181818181818183,20.0,33.33333333333333,1.1176470588235294,19,4,22,1,5,1,3
hard_26,66.66666666666666,33.33333333333333,50.0,0.11764705882352941,2,2,3,1,3,1,2
hard_27,55.55555555555556,16.666666666666664,50.0,0.29411764705882354,5,5,9,1,6,1,2
hard_28,18.181818181818183,50.0,33.33333333333333,0.6470588235294118,11,2,11,2,4,1,3
hard_29,22.22222222222222,33.33333333333333,25.0,0.47058823529411764,8,2,9,1,3,1,4
hard_30,42.857142857142854,25.0,66.66666666666666,0.29411764705882354,5,3,7,1,4,2,3
hard_31,23.52941176470588,20.0,25.0,0.8235294117647058,14,4,17,1,5,1,4
hard_32,18.181818181818183,33.33333333333333,25.0,0.5882352941176471,10,2,11,1,3,1,4
hard_33,25.0,33.33333333333333,20.0,0.4117647058823529,7,2,8,1,3,1,5
hard_34,28.57142857142857,33.33333333333333,50.0,0.35294117647058826,6,2,7,1,3,1,2
medium_1,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,1,2
medium_2,25.0,50.0,25.0,0.23529411764705882,4,1,4,1,2,1,4
medium_3,20.0,50.0,25.0,0.29411764705882354,5,1,5,1,2,1,4
medium_4,20.0,66.66666666666666,50.0,0.35294117647058826,6,1,5,2,3,1,2
medium_5,0.0,100.0,0.0,0.47058823529411764,8,0,6,2,2,0,4
medium_6,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3
medium_7,25.0,50.0,33.33333333333333,0.23529411764705882,4,1,4,1,2,1,3
medium_8,33.33333333333333,50.0,25.0,0.35294117647058826,6,2,6,2,4,1,4
medium_9,25.0,0.0,33.33333333333333,0.17647058823529413,3,1,4,0,1,1,3
medium_10,40.0,50.0,50.0,0.29411764705882354,5,2,5,2,4,1,2
medium_11,20.0,50.0,20.0,0.29411764705882354,5,1,5,1,2,1,5
medium_12,16.666666666666664,33.33333333333333,33.33333333333333,0.4117647058823529,7,1,6,1,3,1,3
medium_13,27.27272727272727,0.0,33.33333333333333,0.5294117647058824,9,3,11,0,4,2,6
medium_14,40.0,0.0,40.0,0.23529411764705882,4,2,5,0,3,2,5
medium_15,32.142857142857146,18.181818181818183,16.666666666666664,1.2352941176470589,21,9,28,2,11,1,6
medium_16,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2
medium_17,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2
medium_18,50.0,50.0,50.0,0.23529411764705882,4,2,4,2,4,1,2
medium_19,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,1,2
medium_20,37.5,12.5,37.5,0.7058823529411765,12,6,16,1,8,3,8
medium_21,16.666666666666664,0.0,25.0,0.29411764705882354,5,1,6,0,1,1,4
medium_22,57.14285714285714,20.0,50.0,0.23529411764705882,4,4,7,1,5,1,2
medium_23,33.33333333333333,33.33333333333333,33.33333333333333,0.29411764705882354,5,2,6,1,3,1,3
medium_24,16.666666666666664,66.66666666666666,25.0,0.4117647058823529,7,1,6,2,3,1,4
medium_25,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2
medium_26,63.1578947368421,0.0,100.0,0.4117647058823529,7,12,19,0,12,1,1
medium_27,75.0,25.0,50.0,0.11764705882352941,2,3,4,1,4,1,2
medium_28,25.0,0.0,50.0,0.17647058823529413,3,1,4,0,1,1,2
medium_29,40.0,33.33333333333333,33.33333333333333,0.23529411764705882,4,2,5,1,3,1,3
medium_30,33.33333333333333,66.66666666666666,50.0,0.23529411764705882,4,1,3,2,3,1,2
medium_31,33.33333333333333,0.0,50.0,0.11764705882352941,2,1,3,0,1,1,2
medium_32,28.57142857142857,33.33333333333333,33.33333333333333,0.35294117647058826,6,2,7,1,3,1,3
medium_33,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2
