part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,33.33333333333333,50.0,0.35294117647058826,6,1,5,1,3,1,2
easy_2,80.0,40.0,75.0,0.4117647058823529,7,4,5,4,10,3,4
easy_3,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,2
easy_4,50.0,0.0,100.0,0.23529411764705882,4,3,6,0,4,2,2
easy_5,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,2
easy_6,100.0,33.33333333333333,100.0,0.058823529411764705,1,2,2,1,3,1,1
easy_7,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1
easy_8,0.0,100.0,0.0,0.11764705882352941,2,0,1,1,1,0,1
easy_9,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_10,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,1
easy_11,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1
easy_12,50.0,0.0,50.0,0.17647058823529413,3,1,2,0,3,1,2
easy_13,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4
easy_14,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,1
easy_15,50.0,66.66666666666666,50.0,0.17647058823529413,3,1,2,2,3,1,2
easy_16,66.66666666666666,25.0,50.0,0.17647058823529413,3,2,3,1,4,1,2
easy_17,66.66666666666666,60.0,50.0,0.23529411764705882,4,2,3,3,5,1,2
easy_18,100.0,28.57142857142857,100.0,0.29411764705882354,5,2,2,2,7,2,2
easy_19,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,2
easy_20,0.0,100.0,0.0,0.5294117647058824,9,0,2,7,7,0,1
easy_21,33.33333333333333,60.0,50.0,0.35294117647058826,6,1,3,3,5,1,2
easy_22,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,2,2
easy_23,100.0,42.857142857142854,100.0,0.17647058823529413,3,4,4,3,7,1,1
easy_24,66.66666666666666,42.857142857142854,100.0,0.29411764705882354,5,4,6,3,7,1,1
easy_25,66.66666666666666,28.57142857142857,100.0,0.29411764705882354,5,4,6,2,7,2,2
easy_26,50.0,28.57142857142857,66.66666666666666,0.4117647058823529,7,2,4,2,7,2,3
easy_27,33.33333333333333,83.33333333333334,33.33333333333333,0.4117647058823529,7,1,3,5,6,1,3
easy_28,33.33333333333333,57.14285714285714,66.66666666666666,0.5294117647058824,9,2,6,4,7,2,3
easy_29,60.0,57.14285714285714,100.0,0.35294117647058826,6,3,5,4,7,2,2
easy_30,100.0,42.857142857142854,100.0,0.23529411764705882,4,3,3,3,7,1,1
easy_31,100.0,50.0,100.0,0.29411764705882354,5,5,5,5,10,2,2
easy_32,60.0,57.14285714285714,60.0,0.35294117647058826,6,3,5,4,7,3,5
easy_33,71.42857142857143,33.33333333333333,50.0,0.35294117647058826,6,5,7,3,9,2,4
hard_1,66.66666666666666,28.57142857142857,75.0,0.29411764705882354,5,4,6,2,7,3,4
hard_2,50.0,42.857142857142854,50.0,0.4117647058823529,7,3,6,3,7,2,4
hard_3,60.0,50.0,50.0,0.29411764705882354,5,3,5,3,6,2,4
hard_4,36.36363636363637,20.0,25.0,0.47058823529411764,8,4,11,1,5,1,4
hard_5,23.52941176470588,42.857142857142854,25.0,0.9411764705882353,16,4,17,3,7,1,4
hard_6,54.54545454545454,41.66666666666667,50.0,0.6470588235294118,11,6,11,5,12,2,4
hard_7,7.199999999999999,10.0,50.0,6.882352941176471,117,9,125,1,10,2,4
hard_8,33.33333333333333,42.857142857142854,25.0,0.6470588235294118,11,4,12,3,7,1,4
hard_9,60.0,33.33333333333333,50.0,0.29411764705882354,5,3,5,2,6,2,4
hard_10,55.55555555555556,37.5,50.0,0.4117647058823529,7,5,9,3,8,2,4
hard_11,45.45454545454545,57.14285714285714,50.0,0.8823529411764706,15,5,11,8,14,2,4
hard_12,66.66666666666666,11.11111111111111,33.33333333333333,0.29411764705882354,5,8,12,1,9,1,3
hard_13,11.11111111111111,75.0,33.33333333333333,0.6470588235294118,11,1,9,3,4,1,3
hard_14,12.5,25.0,25.0,0.5882352941176471,10,1,8,1,4,1,4
hard_15,22.22222222222222,33.33333333333333,25.0,0.47058823529411764,8,2,9,1,3,1,4
hard_16,30.76923076923077,55.55555555555556,25.0,0.8235294117647058,14,4,13,5,9,1,4
hard_17,71.42857142857143,50.0,100.0,0.5294117647058824,9,5,7,6,12,2,2
hard_18,28.57142857142857,60.0,33.33333333333333,0.47058823529411764,8,2,7,3,5,1,3
hard_19,38.46153846153847,22.22222222222222,80.0,0.7058823529411765,12,5,13,2,9,4,5
hard_20,5.263157894736842,37.5,50.0,1.4705882352941178,25,1,19,3,8,1,2
hard_21,22.22222222222222,71.42857142857143,33.33333333333333,0.7058823529411765,12,2,9,5,7,1,3
hard_22,40.0,60.0,25.0,0.35294117647058826,6,2,5,3,5,1,4
hard_23,57.14285714285714,20.0,100.0,0.23529411764705882,4,4,7,1,5,3,3
hard_24,12.5,60.0,20.0,0.6470588235294118,11,1,8,3,5,1,5
hard_25,18.181818181818183,42.857142857142854,33.33333333333333,1.2352941176470589,21,4,22,3,7,1,3
hard_26,66.66666666666666,55.55555555555556,50.0,0.47058823529411764,8,2,3,5,9,1,2
hard_27,44.44444444444444,60.0,50.0,0.6470588235294118,11,4,9,6,10,1,2
hard_28,36.36363636363637,66.66666666666666,33.33333333333333,0.8823529411764706,15,4,11,8,12,1,3
hard_29,33.33333333333333,55.55555555555556,25.0,0.7058823529411765,12,3,9,5,9,1,4
hard_30,71.42857142857143,50.0,100.0,0.6470588235294118,11,5,7,7,14,3,3
hard_31,23.52941176470588,63.63636363636363,25.0,1.1764705882352942,20,4,17,7,11,1,4
hard_32,18.181818181818183,60.0,25.0,0.7058823529411765,12,2,11,3,5,1,4
hard_33,37.5,40.0,40.0,0.4117647058823529,7,3,8,2,5,2,5
hard_34,42.857142857142854,55.55555555555556,50.0,0.5882352941176471,10,3,7,5,9,1,2
medium_1,50.0,20.0,50.0,0.29411764705882354,5,2,4,1,5,1,2
medium_2,25.0,33.33333333333333,25.0,0.29411764705882354,5,1,4,1,3,1,4
medium_3,20.0,75.0,25.0,0.4117647058823529,7,1,5,3,4,1,4
medium_4,20.0,75.0,50.0,0.4117647058823529,7,1,5,3,4,1,2
medium_5,0.0,100.0,0.0,0.5882352941176471,10,0,6,4,4,0,4
medium_6,33.33333333333333,80.0,33.33333333333333,0.35294117647058826,6,1,3,4,5,1,3
medium_7,50.0,40.0,66.66666666666666,0.29411764705882354,5,2,4,2,5,2,3
medium_8,33.33333333333333,25.0,25.0,0.35294117647058826,6,2,6,1,4,1,4
medium_9,25.0,83.33333333333334,33.33333333333333,0.47058823529411764,8,1,4,5,6,1,3
medium_10,0.0,100.0,0.0,0.5882352941176471,10,0,5,5,5,0,2
medium_11,40.0,33.33333333333333,40.0,0.23529411764705882,4,2,5,1,3,2,5
medium_12,16.666666666666664,60.0,33.33333333333333,0.8235294117647058,14,1,6,6,10,1,3
medium_13,27.27272727272727,16.666666666666664,33.33333333333333,0.6470588235294118,11,3,11,1,6,2,6
medium_14,60.0,14.285714285714285,60.0,0.35294117647058826,6,3,5,1,7,3,5
medium_15,39.285714285714285,21.428571428571427,33.33333333333333,1.1764705882352942,20,11,28,3,14,2,6
medium_16,33.33333333333333,20.0,50.0,0.4117647058823529,7,2,6,1,5,1,2
medium_17,23.52941176470588,20.0,50.0,0.8235294117647058,14,4,17,1,5,1,2
medium_18,0.0,100.0,0.0,0.4117647058823529,7,0,4,3,3,0,2
medium_19,50.0,20.0,50.0,0.29411764705882354,5,2,4,1,5,1,2
medium_20,25.0,14.285714285714285,25.0,0.8823529411764706,15,4,16,1,7,2,8
medium_21,16.666666666666664,85.71428571428571,25.0,0.6470588235294118,11,1,6,6,7,1,4
medium_22,57.14285714285714,42.857142857142854,50.0,0.35294117647058826,6,4,7,3,7,1,2
medium_23,33.33333333333333,60.0,33.33333333333333,0.4117647058823529,7,2,6,3,5,1,3
medium_24,66.66666666666666,20.0,75.0,0.17647058823529413,3,4,6,1,5,3,4
medium_25,35.294117647058826,33.33333333333333,50.0,0.8235294117647058,14,6,17,3,9,1,2
medium_26,21.052631578947366,42.857142857142854,100.0,1.0588235294117647,18,4,19,3,7,1,1
medium_27,75.0,66.66666666666666,50.0,0.5882352941176471,10,3,4,8,12,1,2
medium_28,25.0,80.0,50.0,0.4117647058823529,7,1,4,4,5,1,2
medium_29,80.0,41.66666666666667,66.66666666666666,0.5294117647058824,9,4,5,5,12,2,3
medium_30,33.33333333333333,71.42857142857143,50.0,0.47058823529411764,8,1,3,5,7,1,2
medium_31,66.66666666666666,80.0,50.0,0.5294117647058824,9,2,3,8,10,1,2
medium_32,71.42857142857143,54.54545454545454,66.66666666666666,0.47058823529411764,8,5,7,6,11,2,3
medium_33,66.66666666666666,60.0,50.0,0.47058823529411764,8,4,6,6,10,1,2
