part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count
easy_1,20.0,60.0,50.0,0.47058823529411764,8,1,5,3,5,1,2
easy_2,40.0,62.5,50.0,0.5294117647058824,9,2,5,5,8,2,4
easy_3,100.0,42.857142857142854,100.0,0.29411764705882354,5,2,2,3,7,2,2
easy_4,50.0,50.0,100.0,0.35294117647058826,6,3,6,3,6,2,2
easy_5,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,2
easy_6,50.0,80.0,100.0,0.29411764705882354,5,1,2,4,5,1,1
easy_7,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1
easy_8,100.0,40.0,100.0,0.23529411764705882,4,1,1,2,5,1,1
easy_9,0.0,100.0,0.0,0.35294117647058826,6,0,2,4,4,0,1
easy_10,25.0,85.71428571428571,100.0,0.5294117647058824,9,1,4,6,7,1,1
easy_11,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_12,100.0,40.0,100.0,0.17647058823529413,3,2,2,2,5,2,2
easy_13,66.66666666666666,42.857142857142854,75.0,0.29411764705882354,5,4,6,3,7,3,4
easy_14,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1
easy_15,100.0,60.0,100.0,0.17647058823529413,3,2,2,3,5,2,2
easy_16,100.0,40.0,100.0,0.11764705882352941,2,3,3,2,5,2,2
easy_17,66.66666666666666,60.0,50.0,0.23529411764705882,4,2,3,3,5,1,2
easy_18,100.0,28.57142857142857,100.0,0.29411764705882354,5,2,2,2,7,2,2
easy_19,0.0,100.0,0.0,0.4117647058823529,7,0,2,5,5,0,2
easy_20,0.0,100.0,0.0,0.6470588235294118,11,0,2,9,9,0,1
easy_21,33.33333333333333,71.42857142857143,50.0,0.47058823529411764,8,1,3,5,7,1,2
easy_22,100.0,71.42857142857143,100.0,0.29411764705882354,5,2,2,5,7,2,2
easy_23,100.0,20.0,100.0,0.058823529411764705,1,4,4,1,5,1,1
easy_24,66.66666666666666,55.55555555555556,100.0,0.4117647058823529,7,4,6,5,9,1,1
easy_25,50.0,33.33333333333333,50.0,0.5294117647058824,9,3,6,3,9,1,2
easy_26,50.0,42.857142857142854,66.66666666666666,0.4117647058823529,7,2,4,3,7,2,3
easy_27,33.33333333333333,80.0,33.33333333333333,0.35294117647058826,6,1,3,4,5,1,3
easy_28,16.666666666666664,50.0,33.33333333333333,0.47058823529411764,8,1,6,2,4,1,3
easy_29,40.0,60.0,100.0,0.35294117647058826,6,2,5,3,5,2,2
easy_30,66.66666666666666,71.42857142857143,100.0,0.35294117647058826,6,2,3,5,7,1,1
easy_31,40.0,60.0,50.0,0.35294117647058826,6,2,5,3,5,1,2
easy_32,20.0,75.0,20.0,0.4117647058823529,7,1,5,3,4,1,5
easy_33,42.857142857142854,57.14285714285714,50.0,0.47058823529411764,8,3,7,4,7,2,4
hard_1,66.66666666666666,50.0,75.0,0.35294117647058826,6,4,6,4,8,3,4
hard_2,66.66666666666666,50.0,75.0,0.35294117647058826,6,4,6,4,8,3,4
hard_3,60.0,57.14285714285714,50.0,0.35294117647058826,6,3,5,4,7,2,4
hard_4,36.36363636363637,45.45454545454545,75.0,0.8235294117647058,14,4,11,5,11,3,4
hard_5,29.411764705882355,60.0,50.0,1.2941176470588236,22,5,17,9,15,2,4
