Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.64,0.17073170731707318,0.7142857142857143,0.0,0.6190476190476191,0.06666666666666667,0.6363636363636364,0.2857142857142857,Claude-3.5,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.25,0.7857142857142857,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.0,1.0,Claude-3.5,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.5700934579439252,0.15584415584415584,0.75,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.5970149253731343,0.024390243902439025,Claude-3.5,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Claude-3.5,Exp_3_Multi_View
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_3_Multi_View
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Hole (Through / Blind Hole),0.9004739336492891,0.02689486552567237,0.9782608695652174,0.12280701754385964,0.907563025210084,0.03278688524590164,0.8832684824902723,0.0,Claude-3.5,Exp_3_Multi_View
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Pipe / Tube,0.6923076923076923,0.4,0.0,1.0,0.0,1.0,0.9,0.18181818181818182,Claude-3.5,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.22,0.21428571428571427,0.2631578947368421,0.0,0.3157894736842105,0.14285714285714285,0.0,1.0,Claude-3.5,Exp_3_Multi_View
Sheet Metal Features,0.625,0.0,0.0,0.0,1.0,0.0,0.5,0.0,Claude-3.5,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.7058823529411765,0.15584415584415584,0.75,0.1875,0.5,0.2222222222222222,0.813953488372093,0.11627906976744186,Claude-3.5,Exp_3_Multi_View
Step (Through / Blind Step),0.75,0.574468085106383,0.6666666666666666,0.7777777777777778,0.7272727272727273,0.5238095238095238,0.8,0.5294117647058824,Claude-3.5,Exp_3_Multi_View
Threaded Feature,0.7777777777777778,0.0,1.0,0.0,0.75,0.0,0.6666666666666666,0.0,Claude-3.5,Exp_3_Multi_View
