Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.44,0.1111111111111111,0.5714285714285714,0.0,0.38095238095238093,0.1,0.45454545454545453,0.16666666666666666,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Chamfer / Bevel (Sharp Edge),0.16666666666666666,0.9259259259259259,0.16666666666666666,0.875,0.16666666666666666,0.8,0.0,1.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Fillet / Round (Concave / Convex),0.6448598130841121,0.25,0.6666666666666666,0.5,0.7142857142857143,0.3888888888888889,0.6119402985074627,0.023809523809523808,Claude-3.5,Exp_4a_Multi_View_Few_Shot
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.5,0.0,0.0,0.0,1.0,0.2,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Hole (Through / Blind Hole),0.8436018957345972,0.04639175257731959,0.9782608695652174,0.1694915254237288,0.907563025210084,0.06451612903225806,0.7898832684824902,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Pipe / Tube,0.6153846153846154,0.4666666666666667,0.0,1.0,0.3333333333333333,0.8,0.7,0.2222222222222222,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Pocket (Blind / Through / Circular End Pocket),0.28,0.3333333333333333,0.3157894736842105,0.14285714285714285,0.3157894736842105,0.14285714285714285,0.16666666666666666,0.7142857142857143,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Slot (Through / Blind / T-Slot / Dovetail),0.5176470588235295,0.09259259259259259,0.4375,0.1111111111111111,0.34615384615384615,0.2857142857142857,0.6511627906976745,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Step (Through / Blind Step),0.625,0.6363636363636364,0.3333333333333333,0.8888888888888888,0.6363636363636364,0.5789473684210527,0.7,0.5625,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Threaded Feature,0.5555555555555556,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
