Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.7,0.17777777777777778,0.8571428571428571,0.125,0.6190476190476191,0.07142857142857142,0.7272727272727273,0.2608695652173913,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.25,0.8125,0.16666666666666666,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.0,1.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.5700934579439252,0.17647058823529413,0.8333333333333334,0.2857142857142857,0.7142857142857143,0.2,0.4626865671641791,0.08823529411764706,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.0,0.2,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.8720379146919431,0.03508771929824561,0.9782608695652174,0.12280701754385964,0.907563025210084,0.056,0.8365758754863813,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Neck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.7692307692307693,0.35294117647058826,0.0,1.0,0.3333333333333333,0.75,0.9,0.09090909090909091,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.18,0.3076923076923077,0.2631578947368421,0.0,0.21052631578947367,0.3333333333333333,0.0,1.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.25,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.788235294117647,0.1348314606741573,0.75,0.1875,0.7307692307692307,0.17391304347826086,0.8372093023255814,0.1,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.7916666666666666,0.5531914893617021,0.6666666666666666,0.8,0.7272727272727273,0.55,0.9,0.4117647058823529,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.6666666666666666,0.0,1.0,0.0,0.75,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
