Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.04,0.0,0.14285714285714285,0.0,0.0,0.0,0.045454545454545456,0.0,Claude-3,Exp_1_Basic_Prompts
Chamfer / Bevel (Sharp Edge),0.16666666666666666,0.7368421052631579,0.0,1.0,0.3333333333333333,0.16666666666666666,0.0,1.0,Claude-3,Exp_1_Basic_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Fillet / Round (Concave / Convex),0.27102803738317754,0.3090909090909091,0.8333333333333334,0.2777777777777778,0.10714285714285714,0.7272727272727273,0.23880597014925373,0.15384615384615385,Claude-3,Exp_1_Basic_Prompts
"Freeform Features (Depression, Protrusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Gear Teeth,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.5,Claude-3,Exp_1_Basic_Prompts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Hole (Through / Blind Hole),0.46445497630331756,0.05128205128205128,0.8043478260869565,0.1,0.6302521008403361,0.07692307692307693,0.32684824902723736,0.0,Claude-3,Exp_1_Basic_Prompts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Pocket (Blind / Through / Circular End Pocket),0.24,0.4,0.21052631578947367,0.0,0.42105263157894735,0.2727272727272727,0.0,1.0,Claude-3,Exp_1_Basic_Prompts
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.1411764705882353,0.25,0.125,0.5,0.07692307692307693,0.0,0.18604651162790697,0.2,Claude-3,Exp_1_Basic_Prompts
Step (Through / Blind Step),0.3333333333333333,0.6666666666666666,1.0,0.7272727272727273,0.2727272727272727,0.5,0.2,0.7142857142857143,Claude-3,Exp_1_Basic_Prompts
Threaded Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3,Exp_1_Basic_Prompts
