Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.44,0.15384615384615385,1.0,0.125,0.19047619047619047,0.2,0.5,0.15384615384615385,GPT-4o,Exp_2_Improved_Prompts
Chamfer / Bevel (Sharp Edge),0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Fillet / Round (Concave / Convex),0.6728971962616822,0.13333333333333333,0.9166666666666666,0.25,0.5714285714285714,0.10526315789473684,0.6716417910447762,0.10909090909090909,GPT-4o,Exp_2_Improved_Prompts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.8333333333333334,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Gusset,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,GPT-4o,Exp_2_Improved_Prompts
Hole (Through / Blind Hole),0.54739336492891,0.008438818565400843,0.8695652173913043,0.0,0.7310924369747899,0.02247191011235955,0.4046692607003891,0.0,GPT-4o,Exp_2_Improved_Prompts
Neck,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Pipe / Tube,0.38461538461538464,0.16666666666666666,0.0,0.0,0.0,1.0,0.5,0.0,GPT-4o,Exp_2_Improved_Prompts
Pocket (Blind / Through / Circular End Pocket),0.32,0.15,0.2631578947368421,0.16666666666666666,0.3157894736842105,0.125,0.4166666666666667,0.16666666666666666,GPT-4o,Exp_2_Improved_Prompts
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_2_Improved_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.6705882352941176,0.1323529411764706,0.5625,0.3076923076923077,0.5769230769230769,0.0625,0.7674418604651163,0.10256410256410256,GPT-4o,Exp_2_Improved_Prompts
Step (Through / Blind Step),0.4583333333333333,0.3684210526315789,0.6666666666666666,0.5,0.5454545454545454,0.3,0.3,0.4,GPT-4o,Exp_2_Improved_Prompts
Threaded Feature,0.5555555555555556,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,GPT-4o,Exp_2_Improved_Prompts
