Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.4,0.16666666666666666,0.7142857142857143,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.4090909090909091,0.18181818181818182,GPT-4o,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.4166666666666667,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,GPT-4o,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.6355140186915887,0.058823529411764705,0.9166666666666666,0.2,0.6428571428571429,0.08695652173913043,0.582089552238806,0.0,GPT-4o,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.7777777777777778,1.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_3_Multi_View
Gusset,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.9090909090909091,0.16666666666666666,GPT-4o,Exp_3_Multi_View
Hole (Through / Blind Hole),0.6279620853080569,0.01444043321299639,0.9130434782608695,0.044444444444444446,0.8319327731092437,0.018867924528301886,0.48249027237354086,0.0,GPT-4o,Exp_3_Multi_View
Neck,1.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Pipe / Tube,0.5384615384615384,0.2727272727272727,0.0,0.0,0.3333333333333333,0.75,0.6,0.0,GPT-4o,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.42,0.125,0.42105263157894735,0.2,0.3157894736842105,0.14285714285714285,0.5833333333333334,0.0,GPT-4o,Exp_3_Multi_View
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Sheet Metal Features,0.25,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,GPT-4o,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.7647058823529411,0.1038961038961039,0.5625,0.1,0.7692307692307693,0.047619047619047616,0.8372093023255814,0.13043478260869565,GPT-4o,Exp_3_Multi_View
Step (Through / Blind Step),0.4166666666666667,0.3125,0.6666666666666666,0.5,0.5454545454545454,0.3,0.2,0.0,GPT-4o,Exp_3_Multi_View
Threaded Feature,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,GPT-4o,Exp_3_Multi_View
