Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.54,0.12903225806451613,1.0,0.125,0.47619047619047616,0.09090909090909091,0.45454545454545453,0.16666666666666666,GPT-4o,Exp_4a_Multi_View_Few_Shot
Chamfer / Bevel (Sharp Edge),0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Fillet / Round (Concave / Convex),0.42990654205607476,0.08333333333333333,0.9166666666666666,0.2,0.39285714285714285,0.15384615384615385,0.3582089552238806,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.5,1.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Gusset,0.75,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Hole (Through / Blind Hole),0.5710900473933649,0.016129032258064516,0.8695652173913043,0.047619047619047616,0.7899159663865546,0.020618556701030927,0.4163424124513619,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Neck,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Pipe / Tube,0.5384615384615384,0.1111111111111111,0.0,0.0,0.3333333333333333,0.5,0.6,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Pocket (Blind / Through / Circular End Pocket),0.3,0.21052631578947367,0.42105263157894735,0.1111111111111111,0.3157894736842105,0.14285714285714285,0.08333333333333333,0.6666666666666666,GPT-4o,Exp_4a_Multi_View_Few_Shot
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Slot (Through / Blind / T-Slot / Dovetail),0.7411764705882353,0.10666666666666667,0.6875,0.08333333333333333,0.6923076923076923,0.05263157894736842,0.7906976744186046,0.13636363636363635,GPT-4o,Exp_4a_Multi_View_Few_Shot
Step (Through / Blind Step),0.4166666666666667,0.3888888888888889,0.6666666666666666,0.5,0.5454545454545454,0.3,0.2,0.5,GPT-4o,Exp_4a_Multi_View_Few_Shot
Threaded Feature,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
