Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.22,0.5853658536585366,0.7142857142857143,0.47619047619047616,0.047619047619047616,0.8571428571428571,0.22727272727272727,0.6153846153846154,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.5,0.9090909090909091,0.5,0.85,0.5,0.875,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.3644859813084112,0.5411764705882353,0.16666666666666666,0.9130434782608695,0.5,0.48148148148148145,0.34328358208955223,0.34285714285714286,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.9,0.0,0.0,0.0,1.0,0.2,0.875,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.08333333333333333,0.9,0.0,0.0,0.0,1.0,0.09090909090909091,0.875,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.25355450236966826,0.11347517730496454,0.45652173913043476,0.2631578947368421,0.35294117647058826,0.10909090909090909,0.17120622568093385,0.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Neck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.23076923076923078,0.7272727272727273,0.0,0.0,0.0,1.0,0.3,0.625,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.38,0.6545454545454545,0.2631578947368421,0.5833333333333334,0.5789473684210527,0.45,0.25,0.8695652173913043,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.2823529411764706,0.52,0.4375,0.5,0.38461538461538464,0.375,0.16279069767441862,0.65,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.20833333333333334,0.375,0.0,0.0,0.36363636363636365,0.2,0.1,0.6666666666666666,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.2222222222222222,0.875,0.0,1.0,0.25,0.75,0.3333333333333333,0.9090909090909091,Llava_v1_6_mistral_7b,Exp_4b_Multi_View_Chain_of_Thougths
