Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.6296296296296297,0.6730769230769231,1.0,0.9375,0.5555555555555556,0.5,0.75,0.625,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Chamfer / Bevel (Sharp Edge),0.9,0.8658536585365854,0.8,0.8857142857142857,1.0,0.8,1.0,0.9411764705882353,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Fillet / Round (Concave / Convex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
"Freeform Features (Depression, Protrusion)",1.0,0.9615384615384616,0.0,1.0,0.0,1.0,1.0,0.8666666666666667,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Gear Teeth,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Hole (Through / Blind Hole),0.2553191489361702,0.24468085106382978,0.75,0.5925925925925926,0.44642857142857145,0.16666666666666666,0.1695906432748538,0.03225806451612903,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Pocket (Blind / Through / Circular End Pocket),0.5897435897435898,0.5576923076923077,0.5625,0.47058823529411764,0.5714285714285714,0.4,1.0,0.8666666666666667,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Rib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Sheet Metal Features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Slot (Through / Blind / T-Slot / Dovetail),0.8518518518518519,0.6,1.0,0.625,0.8421052631578947,0.5,0.5,0.8125,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Step (Through / Blind Step),0.8333333333333334,0.8142857142857143,1.0,0.8846153846153846,0.8,0.6428571428571429,0.0,1.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
Thread,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MiniCPM,Exp_5_MultiView_Few_Shot_Chain_of_thoughts
