Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.5,0.6212121212121212,0.5714285714285714,0.6363636363636364,0.5714285714285714,0.5862068965517241,0.4090909090909091,0.6538461538461539,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Chamfer / Bevel (Sharp Edge),0.6666666666666666,0.9310344827586207,0.5,0.9347826086956522,0.8333333333333334,0.8627450980392157,0.0,1.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Fillet / Round (Concave / Convex),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
"Freeform Features (Depression, Protrusion)",0.3333333333333333,0.9607843137254902,0.0,1.0,0.0,1.0,0.4,0.9047619047619048,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gear Teeth,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Hole (Through / Blind Hole),0.4052132701421801,0.09767441860465116,0.7391304347826086,0.23636363636363636,0.5462184873949579,0.09876543209876543,0.2801556420233463,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pipe / Tube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pocket (Blind / Through / Circular End Pocket),0.42,0.7469879518072289,0.3684210526315789,0.65,0.5789473684210527,0.6333333333333333,0.25,0.9090909090909091,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Sheet Metal Features,0.125,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Slot (Through / Blind / T-Slot / Dovetail),0.23529411764705882,0.4918032786885246,0.1875,0.4166666666666667,0.5384615384615384,0.45714285714285713,0.06976744186046512,0.6428571428571429,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Step (Through / Blind Step),0.8333333333333334,0.7850467289719626,1.0,0.918918918918919,0.8181818181818182,0.717948717948718,0.8,0.7096774193548387,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Threaded Feature,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MiniCPM,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
