Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.48,0.14285714285714285,1.0,0.125,0.19047619047619047,0.2,0.5909090909090909,0.13333333333333333,GPT-4o,Exp_1_Basic_Prompts
Chamfer / Bevel (Sharp Edge),0.4166666666666667,0.4444444444444444,0.5,0.0,0.3333333333333333,0.5,0.0,1.0,GPT-4o,Exp_1_Basic_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_1_Basic_Prompts
Fillet / Round (Concave / Convex),0.5700934579439252,0.12987012987012986,1.0,0.23529411764705882,0.39285714285714285,0.14285714285714285,0.5671641791044776,0.08695652173913043,GPT-4o,Exp_1_Basic_Prompts
"Freeform Features (Depression, Protrusion)",0.5,0.5555555555555556,1.0,0.0,0.0,1.0,0.4,0.6666666666666666,GPT-4o,Exp_1_Basic_Prompts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_1_Basic_Prompts
Gusset,0.25,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,GPT-4o,Exp_1_Basic_Prompts
Hole (Through / Blind Hole),0.556872037914692,0.012345679012345678,0.8695652173913043,0.023255813953488372,0.7478991596638656,0.021739130434782608,0.41245136186770426,0.0,GPT-4o,Exp_1_Basic_Prompts
Neck,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_1_Basic_Prompts
Pipe / Tube,0.46153846153846156,0.25,0.0,0.0,0.3333333333333333,0.5,0.5,0.16666666666666666,GPT-4o,Exp_1_Basic_Prompts
Pocket (Blind / Through / Circular End Pocket),0.28,0.2857142857142857,0.3684210526315789,0.125,0.3684210526315789,0.2,0.0,1.0,GPT-4o,Exp_1_Basic_Prompts
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_1_Basic_Prompts
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_1_Basic_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.611764705882353,0.22388059701492538,0.5625,0.18181818181818182,0.6923076923076923,0.05263157894736842,0.5813953488372093,0.32432432432432434,GPT-4o,Exp_1_Basic_Prompts
Step (Through / Blind Step),0.4166666666666667,0.4444444444444444,0.6666666666666666,0.5,0.5454545454545454,0.45454545454545453,0.2,0.3333333333333333,GPT-4o,Exp_1_Basic_Prompts
Threaded Feature,0.5555555555555556,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,GPT-4o,Exp_1_Basic_Prompts
