,part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count,category
0,easy_1,40.0,25.0,100.0,0.29411764705882354,5,2,5,1,4,2,2,easy
11,easy_2,60.0,0.0,75.0,0.17647058823529413,3,3,5,0,4,3,4,easy
22,easy_3,100.0,50.0,100.0,0.11764705882352941,2,2,2,2,4,2,2,easy
27,easy_4,50.0,50.0,100.0,0.35294117647058826,6,3,6,3,6,2,2,easy
28,easy_5,50.0,75.0,50.0,0.23529411764705882,4,1,2,3,4,1,2,easy
29,easy_6,100.0,66.66666666666666,100.0,0.23529411764705882,4,2,2,4,6,1,1,easy
30,easy_7,100.0,75.0,100.0,0.17647058823529413,3,1,1,3,4,1,1,easy
31,easy_8,0.0,100.0,0.0,0.29411764705882354,5,0,1,4,4,0,1,easy
32,easy_9,50.0,83.33333333333334,100.0,0.35294117647058826,6,1,2,5,6,1,1,easy
1,easy_10,0.0,100.0,0.0,0.5882352941176471,10,0,4,6,6,0,1,easy
2,easy_11,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1,easy
3,easy_12,100.0,50.0,100.0,0.23529411764705882,4,2,2,3,6,2,2,easy
4,easy_13,16.666666666666664,0.0,25.0,0.4117647058823529,7,1,6,0,3,1,4,easy
5,easy_14,50.0,75.0,100.0,0.23529411764705882,4,1,2,3,4,1,1,easy
6,easy_15,50.0,80.0,50.0,0.29411764705882354,5,1,2,4,5,1,2,easy
7,easy_16,100.0,50.0,100.0,0.17647058823529413,3,3,3,3,6,2,2,easy
8,easy_17,33.33333333333333,75.0,50.0,0.29411764705882354,5,1,3,3,4,1,2,easy
9,easy_18,50.0,33.33333333333333,50.0,0.17647058823529413,3,1,2,1,3,1,2,easy
10,easy_19,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2,easy
12,easy_20,0.0,100.0,0.0,0.29411764705882354,5,0,2,3,3,0,1,easy
13,easy_21,66.66666666666666,57.14285714285714,100.0,0.35294117647058826,6,2,3,4,7,2,2,easy
14,easy_22,50.0,50.0,50.0,0.11764705882352941,2,1,2,1,2,1,2,easy
15,easy_23,50.0,33.33333333333333,100.0,0.17647058823529413,3,2,4,1,3,1,1,easy
16,easy_24,33.33333333333333,33.33333333333333,100.0,0.29411764705882354,5,2,6,1,3,1,1,easy
17,easy_25,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2,easy
18,easy_26,25.0,33.33333333333333,33.33333333333333,0.29411764705882354,5,1,4,1,3,1,3,easy
19,easy_27,33.33333333333333,66.66666666666666,33.33333333333333,0.23529411764705882,4,1,3,2,3,1,3,easy
20,easy_28,16.666666666666664,33.33333333333333,33.33333333333333,0.4117647058823529,7,1,6,1,3,1,3,easy
21,easy_29,20.0,0.0,50.0,0.35294117647058826,6,1,5,0,3,1,2,easy
23,easy_30,66.66666666666666,33.33333333333333,100.0,0.11764705882352941,2,2,3,1,3,1,1,easy
24,easy_31,0.0,100.0,0.0,0.47058823529411764,8,0,5,3,3,0,2,easy
25,easy_32,20.0,0.0,20.0,0.35294117647058826,6,1,5,0,3,1,5,easy
26,easy_33,0.0,100.0,0.0,0.5294117647058824,9,0,7,2,2,0,4,easy
33,hard_1,50.0,40.0,50.0,0.29411764705882354,5,3,6,2,5,2,4,hard
44,hard_2,66.66666666666666,33.33333333333333,75.0,0.23529411764705882,4,4,6,2,6,3,4,hard
55,hard_3,60.0,57.14285714285714,50.0,0.35294117647058826,6,3,5,4,7,2,4,hard
61,hard_4,9.090909090909092,50.0,25.0,0.6470588235294118,11,1,11,1,2,1,4,hard
62,hard_5,5.88235294117647,75.0,25.0,1.1176470588235294,19,1,17,3,4,1,4,hard
63,hard_6,45.45454545454545,68.75,100.0,1.0,17,5,11,11,16,4,4,hard
64,hard_7,3.2,42.857142857142854,75.0,7.294117647058823,124,4,125,3,7,3,4,hard
65,hard_8,16.666666666666664,33.33333333333333,50.0,0.6470588235294118,11,2,12,1,3,2,4,hard
66,hard_9,60.0,50.0,50.0,0.29411764705882354,5,3,5,3,6,2,4,hard
34,hard_10,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4,hard
35,hard_11,9.090909090909092,66.66666666666666,25.0,0.7058823529411765,12,1,11,2,3,1,4,hard
36,hard_12,8.333333333333332,50.0,33.33333333333333,0.7058823529411765,12,1,12,1,2,1,3,hard
37,hard_13,11.11111111111111,80.0,33.33333333333333,0.7058823529411765,12,1,9,4,5,1,3,hard
38,hard_14,25.0,62.5,50.0,0.7058823529411765,12,2,8,5,8,2,4,hard
39,hard_15,11.11111111111111,50.0,25.0,0.5294117647058824,9,1,9,1,2,1,4,hard
40,hard_16,15.384615384615385,33.33333333333333,50.0,0.7058823529411765,12,2,13,1,3,2,4,hard
41,hard_17,42.857142857142854,81.25,100.0,1.0,17,3,7,13,16,2,2,hard
42,hard_18,28.57142857142857,33.33333333333333,66.66666666666666,0.35294117647058826,6,2,7,1,3,2,3,hard
43,hard_19,30.76923076923077,71.42857142857143,80.0,1.1176470588235294,19,4,13,10,14,4,5,hard
45,hard_20,5.263157894736842,33.33333333333333,50.0,1.1764705882352942,20,1,19,1,3,1,2,hard
46,hard_21,33.33333333333333,0.0,66.66666666666666,0.35294117647058826,6,3,9,0,3,2,3,hard
47,hard_22,100.0,68.75,100.0,0.6470588235294118,11,5,5,11,16,4,4,hard
48,hard_23,14.285714285714285,66.66666666666666,33.33333333333333,0.6470588235294118,11,1,7,4,6,1,3,hard
49,hard_24,62.5,62.5,100.0,0.8235294117647058,14,5,8,10,16,5,5,hard
50,hard_25,9.090909090909092,0.0,66.66666666666666,1.1764705882352942,20,2,22,0,2,2,3,hard
51,hard_26,66.66666666666666,71.42857142857143,50.0,0.35294117647058826,6,2,3,5,7,1,2,hard
52,hard_27,22.22222222222222,33.33333333333333,50.0,0.47058823529411764,8,2,9,1,3,1,2,hard
53,hard_28,36.36363636363637,75.0,100.0,1.1176470588235294,19,4,11,12,16,3,3,hard
54,hard_29,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4,hard
56,hard_30,57.14285714285714,75.0,100.0,0.8823529411764706,15,4,7,12,16,3,3,hard
57,hard_31,17.647058823529413,0.0,50.0,0.8235294117647058,14,3,17,0,3,2,4,hard
58,hard_32,36.36363636363637,42.857142857142854,75.0,0.5882352941176471,10,4,11,3,7,3,4,hard
59,hard_33,12.5,66.66666666666666,20.0,0.5294117647058824,9,1,8,2,3,1,5,hard
60,hard_34,42.857142857142854,81.25,100.0,1.0,17,3,7,13,16,2,2,hard
67,medium_1,75.0,50.0,100.0,0.23529411764705882,4,3,4,3,6,2,2,medium
78,medium_2,50.0,50.0,50.0,0.35294117647058826,6,2,4,3,6,2,4,medium
89,medium_3,40.0,25.0,50.0,0.29411764705882354,5,2,5,1,4,2,4,medium
94,medium_4,40.0,50.0,100.0,0.4117647058823529,7,2,5,3,6,2,2,medium
95,medium_5,50.0,57.14285714285714,75.0,0.4117647058823529,7,3,6,4,7,3,4,medium
96,medium_6,66.66666666666666,50.0,66.66666666666666,0.17647058823529413,3,2,3,2,4,2,3,medium
97,medium_7,75.0,50.0,100.0,0.35294117647058826,6,3,4,4,8,3,3,medium
98,medium_8,66.66666666666666,42.857142857142854,75.0,0.29411764705882354,5,4,6,3,7,3,4,medium
99,medium_9,25.0,66.66666666666666,33.33333333333333,0.29411764705882354,5,1,4,2,3,1,3,medium
68,medium_10,20.0,85.71428571428571,50.0,0.5882352941176471,10,1,5,6,7,1,2,medium
69,medium_11,80.0,37.5,80.0,0.29411764705882354,5,4,5,3,8,4,5,medium
70,medium_12,33.33333333333333,0.0,66.66666666666666,0.29411764705882354,5,2,6,0,3,2,3,medium
71,medium_13,54.54545454545454,0.0,83.33333333333334,0.29411764705882354,5,6,11,0,6,5,6,medium
72,medium_14,80.0,16.666666666666664,80.0,0.17647058823529413,3,4,5,1,6,4,5,medium
73,medium_15,17.857142857142858,16.666666666666664,66.66666666666666,1.411764705882353,24,5,28,1,6,4,6,medium
74,medium_16,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2,medium
75,medium_17,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2,medium
76,medium_18,25.0,80.0,50.0,0.4117647058823529,7,1,4,4,5,1,2,medium
77,medium_19,75.0,40.0,100.0,0.17647058823529413,3,3,4,2,5,2,2,medium
79,medium_20,37.5,0.0,62.5,0.5882352941176471,10,6,16,0,6,5,8,medium
80,medium_21,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4,medium
81,medium_22,42.857142857142854,0.0,100.0,0.23529411764705882,4,3,7,0,3,2,2,medium
82,medium_23,50.0,62.5,66.66666666666666,0.47058823529411764,8,3,6,5,8,2,3,medium
83,medium_24,66.66666666666666,75.0,75.0,0.8235294117647058,14,4,6,12,16,3,4,medium
84,medium_25,11.76470588235294,33.33333333333333,50.0,0.9411764705882353,16,2,17,1,3,1,2,medium
85,medium_26,10.526315789473683,50.0,100.0,1.1176470588235294,19,2,19,2,4,1,1,medium
86,medium_27,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,1,2,medium
87,medium_28,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2,medium
88,medium_29,80.0,75.0,100.0,0.7647058823529411,13,4,5,12,16,3,3,medium
90,medium_30,0.0,100.0,0.0,0.35294117647058826,6,0,3,3,3,0,2,medium
91,medium_31,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,2,medium
92,medium_32,28.57142857142857,50.0,33.33333333333333,0.4117647058823529,7,2,7,2,4,1,3,medium
93,medium_33,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2,medium
